Sales_order_number,Date,Country,Product_reference,Campaign_ID,Category_product,Sales_revenue_USD,Production_cost_USD,Customer_ID
SO-000033,2025-03-01,Kenya,Chrysal Protect Y,2,Insecticida,137910.56,82237.78,33
SO-000034,2023-02-01,Kenya,Chrysal Flora F,1,Fungicida,65176.54,34180.15,34
SO-000035,2023-03-01,Ecuador,Chrysal Grow X,3,Regulador de crecimiento,35961.57,19936.26,35
SO-000036,2022-01-01,Colombia,Chrysal Protect Y,3,Regulador de crecimiento,,17974.68,36
SO-000037,2025-02-01,Colombia,Chrysal Grow X,1,Nutricional,172789.75,84018.17,37
SO-000038,2022-05-01,Kenya,Chrysal Grow X,1,Fungicida,191744.48,122992.46,38
SO-000039,2022-02-01,Holanda,Chrysal Grow X,3,Insecticida,151435.4,95105.61,39
SO-000040,2024-02-01,Colombia,Chrysal Root R,4,Fungicida,183450.2,106484.59,40
SO-000041,2024-02-01,Holanda,Chrysal Grow X,3,Fertilizante,151968.12,82355.92,41
SO-000042,2024-02-01,Kenya,Chrysal Root R,3,Fungicida,64512.18,37749.45,42
SO-000043,2023-03-01,Kenya,Chrysal Flora F,1,Fertilizante,84464.24,48459.0,43
SO-000044,2025-01-01,Ecuador,Chrysal Protect Y,3,Fertilizante,130522.33,73576.8,44
SO-000045,2025-04-01,Colombia,Chrysal Protect Y,1,Insecticida,,29697.68,45
SO-000046,2025-02-01,Holanda,Chrysal Protect Y,1,Nutricional,66759.58,38490.94,46
SO-000047,2025-05-01,Ecuador,Chrysal Protect Y,2,Fungicida,108461.35,65487.23,47
SO-000048,2024-02-01,Colombia,Chrysal Protect Y,3,Fertilizante,28102.58,18233.42,48
SO-000049,2023-05-01,Ecuador,Chrysal Protect Y,4,Fungicida,69291.09,31334.52,49
SO-000050,2023-03-01,Kenya,Chrysal Protect Y,2,Nutricional,153343.61,91398.11,50
SO-000051,2024-05-01,Colombia,Chrysal Flora F,1,Nutricional,107337.27,60576.63,51
SO-000052,2023-04-01,Ecuador,Chrysal Grow X,1,Regulador de crecimiento,108835.8,58424.2,52
SO-000053,2024-01-01,Ecuador,Chrysal Boost Z,4,Nutricional,132657.85,63080.67,53
SO-000054,2025-05-01,Holanda,Chrysal Root R,1,Insecticida,77772.76,41360.88,54
SO-000055,2024-05-01,Ecuador,Chrysal Boost Z,3,Fertilizante,104324.33,54339.98,55
SO-000056,2025-01-01,Colombia,Chrysal Boost Z,2,Regulador de crecimiento,,63211.25,56
SO-000057,2025-04-01,Colombia,Chrysal Grow X,1,Insecticida,14670.37,8746.12,57
SO-000058,2022-02-01,Holanda,Chrysal Grow X,1,Fungicida,10447.4,6165.48,58
SO-000059,2024-05-01,Colombia,Chrysal Grow X,4,Fertilizante,194085.76,110202.67,59
SO-000060,2022-01-01,Kenya,Chrysal Protect Y,3,Nutricional,9987.12,6369.12,60
SO-000061,2024-03-01,Colombia,Chrysal Flora F,1,Fertilizante,,36950.86,61
SO-000062,2024-01-01,Colombia,Chrysal Protect Y,4,Fungicida,6342.83,3163.55,62
SO-000063,2022-03-01,Ecuador,Chrysal Flora F,1,Regulador de crecimiento,152403.69,88574.07,63
SO-000064,2022-04-01,Ecuador,Chrysal Flora F,4,Regulador de crecimiento,60983.52,29867.46,64
SO-000065,2024-02-01,Colombia,Chrysal Boost Z,4,Regulador de crecimiento,115100.91,59047.01,65
SO-000066,2023-01-01,Holanda,Chrysal Boost Z,3,Nutricional,112463.77,55660.62,66
SO-000067,2025-05-01,Ecuador,Chrysal Flora F,1,Insecticida,172448.37,79986.85,67
SO-000068,2022-04-01,Holanda,Chrysal Flora F,3,Insecticida,29580.38,18206.72,68
SO-000069,2025-01-01,Colombia,Chrysal Protect Y,4,Fertilizante,111142.93,55672.4,69
SO-000070,2023-05-01,Colombia,Chrysal Protect Y,2,Nutricional,70586.89,38442.01,70
SO-000071,2023-01-01,Kenya,Chrysal Boost Z,1,Regulador de crecimiento,117935.0,54092.43,71
SO-000072,2023-03-01,Ecuador,Chrysal Grow X,2,Regulador de crecimiento,73524.52,43369.75,72
SO-000073,2022-01-01,Colombia,Chrysal Flora F,1,Fungicida,117556.05,60672.11,73
SO-000074,2023-01-01,Kenya,Chrysal Protect Y,3,Fungicida,199479.56,119477.75,74
SO-000075,2022-01-01,Ecuador,Chrysal Boost Z,3,Regulador de crecimiento,185313.31,98675.74,75
SO-000076,2023-04-01,Colombia,Chrysal Protect Y,3,Regulador de crecimiento,49302.64,24116.44,76
SO-000077,2025-01-01,Colombia,Chrysal Flora F,3,Nutricional,88812.95,49081.15,77
SO-000078,2025-05-01,Ecuador,Chrysal Flora F,3,Insecticida,70418.64,33526.38,78
SO-000079,2024-03-01,Ecuador,Chrysal Root R,2,Fungicida,107168.8,57668.37,79
SO-000080,2025-03-01,Ecuador,Chrysal Grow X,3,Insecticida,38489.87,19763.05,80
SO-000081,2024-01-01,Colombia,Chrysal Root R,4,Nutricional,133117.62,84182.51,81
SO-000082,2025-04-01,Colombia,Chrysal Boost Z,4,Regulador de crecimiento,185251.69,85620.69,82
SO-000083,2022-04-01,Kenya,Chrysal Protect Y,2,Insecticida,168354.36,99127.63,83
SO-000084,2025-05-01,Holanda,Chrysal Boost Z,1,Regulador de crecimiento,6335.64,3082.6,84
SO-000085,2024-01-01,Ecuador,Chrysal Flora F,4,Regulador de crecimiento,170306.31,87504.92,85
SO-000086,2024-03-01,Colombia,Chrysal Root R,1,Fertilizante,155530.79,82913.9,86
SO-000087,2023-04-01,Colombia,Chrysal Root R,2,Insecticida,17260.73,10901.93,87
SO-000088,2022-01-01,Ecuador,Chrysal Root R,1,Insecticida,170258.18,84876.37,88
SO-000089,2025-04-01,Holanda,Chrysal Boost Z,1,Regulador de crecimiento,155081.73,72618.84,89
SO-000090,2023-04-01,Ecuador,Chrysal Flora F,1,Nutricional,126066.11,64764.94,90
SO-000091,2025-03-01,Holanda,Chrysal Protect Y,1,Fertilizante,61365.14,28899.0,91
SO-000092,2025-02-01,Colombia,Chrysal Protect Y,2,Regulador de crecimiento,99240.99,47210.86,92
SO-000093,2023-05-01,Holanda,Chrysal Boost Z,4,Fungicida,19264.56,10880.05,93
SO-000094,2023-05-01,Kenya,Chrysal Root R,3,Fungicida,27064.43,12508.65,94
SO-000095,2023-03-01,Colombia,Chrysal Grow X,1,Fertilizante,61550.11,28078.31,95
SO-000096,2023-04-01,Kenya,Chrysal Boost Z,4,Nutricional,109138.57,64706.38,96
SO-000097,2023-01-01,Ecuador,Chrysal Boost Z,4,Regulador de crecimiento,81747.68,42699.22,97
SO-000098,2025-04-01,Ecuador,Chrysal Flora F,2,Insecticida,50931.27,24196.18,98
SO-000099,2023-03-01,Ecuador,Chrysal Protect Y,4,Fertilizante,71680.74,35892.17,99
SO-000100,2022-05-01,Holanda,Chrysal Boost Z,2,Nutricional,63995.76,37016.26,100
SO-000101,2024-04-01,Colombia,Chrysal Boost Z,1,Insecticida,96794.33,48891.52,101
SO-000102,2023-05-01,Ecuador,Chrysal Root R,1,Fungicida,138942.38,76266.06,102
SO-000103,2023-01-01,Ecuador,Chrysal Root R,3,Fungicida,190861.18,90532.91,103
SO-000104,2025-05-01,Colombia,Chrysal Grow X,3,Insecticida,122793.88,69700.11,104
SO-000105,2023-05-01,Ecuador,Chrysal Flora F,3,Fertilizante,91234.46,46822.94,105
SO-000106,2023-02-01,Kenya,Chrysal Grow X,4,Fungicida,151137.31,86963.45,106
SO-000107,2023-02-01,Colombia,Chrysal Root R,1,Regulador de crecimiento,55822.43,34145.41,107
SO-000108,2025-02-01,Colombia,Chrysal Protect Y,2,Insecticida,118961.33,68085.05,108
SO-000109,2023-05-01,Colombia,Chrysal Root R,3,Insecticida,111564.35,56802.93,109
SO-000110,2024-03-01,Kenya,Chrysal Flora F,2,Fungicida,117903.72,59087.3,110
SO-000111,2025-05-01,Colombia,Chrysal Root R,2,Fertilizante,47706.49,24591.94,111
SO-000112,2024-03-01,Kenya,Chrysal Flora F,3,Regulador de crecimiento,18817.16,9087.26,112
SO-000113,2025-03-01,Colombia,Chrysal Flora F,1,Fertilizante,,33135.12,113
SO-000114,2023-02-01,Holanda,Chrysal Flora F,3,Nutricional,109861.31,66810.86,114
SO-000115,2024-04-01,Ecuador,Chrysal Flora F,2,Nutricional,148371.7,78183.95,115
SO-000116,2025-01-01,Holanda,Chrysal Flora F,3,Fungicida,114661.18,61595.87,116
SO-000117,2022-02-01,Ecuador,Chrysal Protect Y,2,Fungicida,26208.39,14907.59,117
SO-000118,2023-02-01,Kenya,Chrysal Grow X,2,Fungicida,85084.22,48321.94,118
SO-000119,2025-04-01,Holanda,Chrysal Boost Z,3,Nutricional,80065.63,37108.45,119
SO-000120,2022-01-01,Colombia,Chrysal Grow X,4,Fertilizante,55972.18,34496.11,120
SO-000121,2025-05-01,Ecuador,Chrysal Flora F,3,Fertilizante,26131.92,12686.14,121
SO-000122,2022-05-01,Ecuador,Chrysal Protect Y,4,Fungicida,139260.93,82806.54,122
SO-000123,2023-02-01,Holanda,Chrysal Root R,2,Regulador de crecimiento,152082.46,91939.04,123
SO-000124,2024-01-01,Kenya,Chrysal Protect Y,2,Fertilizante,103270.79,61237.5,124
SO-000125,2022-02-01,Holanda,Chrysal Flora F,4,Nutricional,98087.27,55497.34,125
SO-000126,2025-03-01,Kenya,Chrysal Protect Y,2,Insecticida,84386.9,38220.67,126
SO-000127,2023-02-01,Kenya,Chrysal Protect Y,4,Insecticida,11110.2,5800.36,127
SO-000128,2022-02-01,Ecuador,Chrysal Flora F,4,Insecticida,,40919.02,128
SO-000129,2025-05-01,Holanda,Chrysal Protect Y,2,Regulador de crecimiento,16847.05,8886.65,129
SO-000130,2025-05-01,Holanda,Chrysal Boost Z,1,Fungicida,155225.42,96658.24,130
SO-000131,2025-05-01,Kenya,Chrysal Boost Z,4,Nutricional,124675.29,63803.88,131
SO-000132,2022-03-01,Holanda,Chrysal Protect Y,3,Regulador de crecimiento,114708.57,58353.05,132
SO-000133,2022-05-01,Colombia,Chrysal Root R,3,Nutricional,13230.36,6657.51,133
SO-000134,2022-01-01,Colombia,Chrysal Flora F,2,Nutricional,108469.06,56030.36,134
SO-000135,2024-04-01,Holanda,Chrysal Boost Z,1,Fungicida,165046.93,92670.72,135
SO-000136,2022-01-01,Holanda,Chrysal Root R,2,Insecticida,82328.44,48689.29,136
SO-000137,2022-01-01,Kenya,Chrysal Protect Y,1,Fungicida,166087.65,96748.31,137
SO-000138,2022-05-01,Colombia,Chrysal Root R,4,Regulador de crecimiento,55341.41,33843.68,138
SO-000139,2024-04-01,Colombia,Chrysal Grow X,4,Regulador de crecimiento,151317.17,94903.53,139
SO-000140,2022-04-01,Ecuador,Chrysal Boost Z,4,Regulador de crecimiento,25355.88,15548.63,140
SO-000141,2025-04-01,Kenya,Chrysal Protect Y,4,Fungicida,132208.32,59994.69,141
SO-000142,2022-03-01,Ecuador,Chrysal Flora F,3,Nutricional,82896.43,49504.39,142
SO-000143,2025-05-01,Colombia,Chrysal Protect Y,3,Nutricional,93023.39,45737.73,143
SO-000144,2025-04-01,Kenya,Chrysal Flora F,2,Fertilizante,28682.59,13669.71,144
SO-000145,2025-03-01,Holanda,Chrysal Protect Y,1,Regulador de crecimiento,68476.89,39558.95,145
SO-000146,2024-02-01,Kenya,Chrysal Root R,4,Nutricional,114372.54,58781.61,146
SO-000147,2024-02-01,Holanda,Chrysal Root R,4,Fertilizante,9523.31,4394.28,147
SO-000148,2024-03-01,Holanda,Chrysal Root R,1,Nutricional,94465.27,45109.62,148
SO-000149,2022-03-01,Kenya,Chrysal Grow X,1,Regulador de crecimiento,133656.69,60170.36,149
SO-000150,2025-05-01,Holanda,Chrysal Flora F,2,Insecticida,162281.98,102342.27,150
SO-000151,2024-05-01,Ecuador,Chrysal Root R,1,Regulador de crecimiento,151989.91,69143.8,151
SO-000152,2024-02-01,Colombia,Chrysal Grow X,4,Fungicida,,66361.55,152
SO-000153,2022-04-01,Holanda,Chrysal Flora F,4,Nutricional,61349.19,32714.61,153
SO-000154,2024-02-01,Ecuador,Chrysal Protect Y,4,Nutricional,53317.77,27795.32,154
SO-000155,2022-04-01,Holanda,Chrysal Grow X,4,Fungicida,,52448.31,155
SO-000156,2023-04-01,Colombia,Chrysal Boost Z,4,Fungicida,166188.62,76123.99,156
SO-000157,2024-05-01,Ecuador,Chrysal Grow X,2,Insecticida,95855.52,52954.7,157
SO-000158,2023-01-01,Colombia,Chrysal Grow X,4,Nutricional,120120.93,70402.38,158
SO-000159,2022-01-01,Colombia,Chrysal Flora F,2,Nutricional,,66051.88,159
SO-000160,2025-03-01,Ecuador,Chrysal Protect Y,4,Insecticida,78876.01,45280.68,160
SO-000161,2024-05-01,Ecuador,Chrysal Boost Z,3,Fertilizante,14898.64,9099.36,161
SO-000162,2022-04-01,Ecuador,Chrysal Root R,3,Insecticida,109113.05,50927.97,162
SO-000163,2025-01-01,Kenya,Chrysal Root R,3,Regulador de crecimiento,72628.99,38289.12,163
SO-000164,2025-04-01,Ecuador,Chrysal Grow X,3,Nutricional,,4570.96,164
SO-000165,2023-01-01,Ecuador,Chrysal Flora F,2,Fungicida,159178.28,99845.79,165
SO-000166,2022-01-01,Ecuador,Chrysal Flora F,2,Regulador de crecimiento,92901.74,44618.31,166
SO-000167,2025-01-01,Ecuador,Chrysal Root R,1,Nutricional,97027.76,46609.93,167
SO-000168,2024-05-01,Holanda,Chrysal Boost Z,4,Insecticida,43528.97,22448.4,168
SO-000169,2024-02-01,Kenya,Chrysal Protect Y,3,Regulador de crecimiento,25847.34,11912.86,169
SO-000170,2023-04-01,Colombia,Chrysal Boost Z,2,Nutricional,13866.6,6745.99,170
SO-000171,2025-05-01,Ecuador,Chrysal Protect Y,4,Fertilizante,45096.75,28999.1,171
SO-000172,2022-05-01,Holanda,Chrysal Root R,4,Fertilizante,36723.89,19670.67,172
SO-000173,2024-05-01,Holanda,Chrysal Protect Y,2,Fungicida,99975.64,57626.34,173
SO-000174,2025-05-01,Holanda,Chrysal Flora F,3,Nutricional,111981.01,66653.59,174
SO-000175,2025-05-01,Colombia,Chrysal Grow X,1,Fertilizante,174794.19,91485.93,175
SO-000176,2023-03-01,Ecuador,Chrysal Grow X,4,Insecticida,86769.08,41601.04,176
SO-000177,2024-04-01,Kenya,Chrysal Root R,1,Nutricional,73323.59,36025.07,177
SO-000178,2024-05-01,Kenya,Chrysal Flora F,3,Insecticida,179870.25,92211.07,178
SO-000179,2022-04-01,Holanda,Chrysal Boost Z,3,Insecticida,121316.59,70025.59,179
SO-000180,2024-03-01,Colombia,Chrysal Flora F,1,Fertilizante,123653.03,65493.58,180
SO-000181,2022-03-01,Colombia,Chrysal Grow X,3,Nutricional,110773.07,49998.86,181
SO-000182,2024-04-01,Colombia,Chrysal Grow X,4,Regulador de crecimiento,70343.08,39018.0,182
SO-000183,2023-01-01,Kenya,Chrysal Flora F,1,Fertilizante,109487.88,69448.46,183
SO-000184,2024-02-01,Holanda,Chrysal Flora F,3,Fertilizante,,54211.25,184
SO-000185,2022-01-01,Ecuador,Chrysal Grow X,1,Nutricional,163337.06,100459.2,185
SO-000186,2022-01-01,Kenya,Chrysal Boost Z,4,Nutricional,81144.58,49417.99,186
SO-000187,2023-01-01,Holanda,Chrysal Root R,3,Insecticida,93011.83,47877.48,187
SO-000188,2024-05-01,Holanda,Chrysal Root R,4,Nutricional,61094.85,36842.56,188
SO-000189,2024-03-01,Ecuador,Chrysal Flora F,3,Insecticida,59326.05,28395.36,189
SO-000190,2023-01-01,Ecuador,Chrysal Root R,2,Fertilizante,126300.16,73449.0,190
SO-000191,2024-03-01,Ecuador,Chrysal Grow X,3,Fungicida,76550.12,44269.99,191
SO-000192,2024-04-01,Colombia,Chrysal Grow X,1,Regulador de crecimiento,172366.21,78446.27,192
SO-000193,2022-02-01,Ecuador,Chrysal Flora F,3,Fertilizante,,23921.75,193
SO-000194,2024-04-01,Holanda,Chrysal Flora F,4,Nutricional,49593.28,31275.98,194
SO-000195,2024-04-01,Ecuador,Chrysal Flora F,4,Regulador de crecimiento,137134.81,69045.05,195
SO-000196,2023-05-01,Holanda,Chrysal Boost Z,3,Fungicida,100918.65,61810.47,196
SO-000197,2023-02-01,Kenya,Chrysal Root R,1,Fungicida,154542.35,72091.1,197
SO-000198,2025-04-01,Colombia,Chrysal Flora F,2,Insecticida,20526.81,11700.15,198
SO-000199,2022-04-01,Kenya,Chrysal Protect Y,1,Regulador de crecimiento,113931.92,62335.5,199
SO-000200,2024-02-01,Kenya,Chrysal Protect Y,2,Insecticida,96002.47,53683.11,200
SO-000201,2024-02-01,Holanda,Chrysal Grow X,4,Fertilizante,210217.55,133538.81,201
SO-000202,2025-04-01,Kenya,Chrysal Root R,1,Regulador de crecimiento,118342.11,73876.61,202
SO-000203,2024-02-01,Holanda,Chrysal Flora F,2,Fertilizante,84563.4,51331.4,203
SO-000204,2022-04-01,Ecuador,Chrysal Protect Y,3,Insecticida,59821.16,30194.12,204
SO-000205,2025-04-01,Ecuador,Chrysal Root R,4,Regulador de crecimiento,140729.27,88992.09,205
SO-000206,2022-05-01,Holanda,Chrysal Grow X,3,Insecticida,116211.61,54561.53,206
SO-000207,2025-01-01,Ecuador,Chrysal Boost Z,4,Regulador de crecimiento,64847.58,40248.68,207
SO-000208,2025-04-01,Colombia,Chrysal Root R,1,Insecticida,84747.73,43698.64,208
SO-000209,2023-03-01,Kenya,Chrysal Root R,1,Fungicida,87585.74,40355.52,209
SO-000210,2022-01-01,Colombia,Chrysal Boost Z,4,Insecticida,107203.12,62592.84,210
SO-000211,2024-01-01,Kenya,Chrysal Root R,4,Fungicida,153903.13,76375.35,211
SO-000212,2024-01-01,Ecuador,Chrysal Grow X,4,Insecticida,94402.38,47079.81,212
SO-000213,2022-05-01,Colombia,Chrysal Grow X,1,Regulador de crecimiento,118619.05,60639.18,213
SO-000214,2024-04-01,Ecuador,Chrysal Boost Z,2,Regulador de crecimiento,92322.68,42721.12,214
SO-000215,2024-05-01,Kenya,Chrysal Flora F,3,Regulador de crecimiento,178360.45,86580.7,215
SO-000216,2022-04-01,Holanda,Chrysal Protect Y,3,Nutricional,68853.2,31054.72,216
SO-000217,2025-05-01,Holanda,Chrysal Flora F,1,Fertilizante,,66145.12,217
SO-000218,2022-05-01,Colombia,Chrysal Root R,3,Regulador de crecimiento,166376.24,77672.93,218
SO-000219,2025-03-01,Ecuador,Chrysal Protect Y,4,Fungicida,182221.29,106878.35,219
SO-000220,2024-05-01,Ecuador,Chrysal Boost Z,2,Regulador de crecimiento,72205.27,35895.02,220
SO-000221,2024-02-01,Colombia,Chrysal Boost Z,3,Nutricional,130694.29,83476.38,221
SO-000222,2024-03-01,Holanda,Chrysal Protect Y,2,Fungicida,108746.12,67884.8,222
SO-000223,2023-05-01,Kenya,Chrysal Grow X,4,Nutricional,47703.09,24227.84,223
SO-000224,2025-01-01,Colombia,Chrysal Protect Y,3,Fungicida,180611.08,109566.47,224
SO-000225,2023-02-01,Kenya,Chrysal Root R,1,Insecticida,118917.68,72616.96,225
SO-000226,2023-02-01,Holanda,Chrysal Grow X,2,Fertilizante,131800.67,85316.24,226
SO-000227,2022-02-01,Ecuador,Chrysal Boost Z,4,Fertilizante,35487.98,20212.82,227
SO-000228,2023-03-01,Holanda,Chrysal Protect Y,2,Nutricional,116998.19,54567.16,228
SO-000229,2022-05-01,Colombia,Chrysal Flora F,3,Fertilizante,108672.91,62961.54,229
SO-000230,2022-05-01,Ecuador,Chrysal Flora F,3,Nutricional,16509.29,9492.77,230
SO-000231,2023-01-01,Colombia,Chrysal Root R,1,Nutricional,76841.51,44389.05,231
SO-000232,2025-01-01,Colombia,Chrysal Flora F,4,Nutricional,70455.09,36032.79,232
SO-000233,2025-02-01,Holanda,Chrysal Protect Y,4,Fertilizante,65331.78,40632.18,233
SO-000234,2025-01-01,Colombia,Chrysal Protect Y,1,Nutricional,25905.42,16628.54,234
SO-000235,2025-03-01,Holanda,Chrysal Flora F,1,Fertilizante,146443.09,72275.89,235
SO-000236,2025-05-01,Ecuador,Chrysal Protect Y,4,Nutricional,145745.22,68154.9,236
SO-000237,2023-02-01,Holanda,Chrysal Root R,2,Regulador de crecimiento,60777.73,29714.66,237
SO-000238,2023-01-01,Ecuador,Chrysal Grow X,2,Nutricional,43278.09,26577.53,238
SO-000239,2024-03-01,Holanda,Chrysal Root R,1,Fungicida,38845.41,22737.34,239
SO-000240,2025-03-01,Kenya,Chrysal Root R,2,Nutricional,,15828.78,240
SO-000241,2023-01-01,Kenya,Chrysal Protect Y,4,Insecticida,57325.37,30403.01,241
SO-000242,2024-05-01,Colombia,Chrysal Grow X,3,Nutricional,137797.06,77933.28,242
SO-000243,2025-01-01,Holanda,Chrysal Protect Y,3,Fungicida,13896.59,7109.15,243
SO-000244,2022-02-01,Holanda,Chrysal Boost Z,2,Fungicida,179108.85,97693.13,244
SO-000245,2024-01-01,Ecuador,Chrysal Protect Y,1,Fertilizante,132013.82,80345.27,245
SO-000246,2023-03-01,Colombia,Chrysal Protect Y,1,Regulador de crecimiento,151043.36,97611.52,246
SO-000247,2022-01-01,Holanda,Chrysal Protect Y,1,Nutricional,,53502.2,247
SO-000248,2022-05-01,Colombia,Chrysal Grow X,1,Fertilizante,156697.1,99780.51,248
SO-000249,2022-04-01,Kenya,Chrysal Protect Y,1,Regulador de crecimiento,53434.45,28344.02,249
SO-000250,2024-01-01,Holanda,Chrysal Grow X,2,Nutricional,67683.1,36803.22,250
SO-000251,2023-05-01,Holanda,Chrysal Flora F,3,Insecticida,156144.45,92301.21,251
SO-000252,2022-05-01,Colombia,Chrysal Boost Z,3,Nutricional,,12170.82,252
SO-000253,2025-03-01,Holanda,Chrysal Grow X,2,Fungicida,13015.61,6226.65,253
SO-000254,2022-05-01,Colombia,Chrysal Flora F,1,Fungicida,51044.56,26076.03,254
SO-000255,2022-05-01,Holanda,Chrysal Grow X,2,Insecticida,181871.75,86907.3,255
SO-000256,2024-05-01,Ecuador,Chrysal Grow X,3,Fertilizante,61425.72,35160.19,256
SO-000257,2024-05-01,Colombia,Chrysal Boost Z,4,Regulador de crecimiento,177001.07,90493.6,257
SO-000258,2023-02-01,Holanda,Chrysal Root R,2,Nutricional,127112.32,65491.01,258
SO-000259,2025-02-01,Kenya,Chrysal Root R,1,Fungicida,110883.56,51470.29,259
SO-000260,2024-03-01,Holanda,Chrysal Grow X,3,Fertilizante,90989.53,47310.85,260
SO-000261,2022-01-01,Kenya,Chrysal Protect Y,3,Insecticida,32668.29,20335.99,261
SO-000262,2023-05-01,Kenya,Chrysal Flora F,3,Fungicida,,6615.52,262
SO-000263,2022-01-01,Ecuador,Chrysal Protect Y,3,Insecticida,104112.53,61326.18,263
SO-000264,2022-01-01,Colombia,Chrysal Protect Y,1,Nutricional,89102.32,51316.31,264
SO-000265,2024-03-01,Holanda,Chrysal Grow X,4,Regulador de crecimiento,122871.46,76511.68,265
SO-000266,2023-05-01,Ecuador,Chrysal Grow X,3,Fungicida,5427.42,2585.94,266
SO-000267,2025-05-01,Holanda,Chrysal Grow X,2,Fungicida,58484.8,37752.99,267
SO-000268,2025-04-01,Kenya,Chrysal Grow X,4,Nutricional,136378.93,77262.17,268
SO-000269,2024-01-01,Colombia,Chrysal Root R,3,Fertilizante,147268.75,95591.39,269
SO-000270,2024-01-01,Holanda,Chrysal Grow X,4,Regulador de crecimiento,81379.47,51456.48,270
SO-000271,2023-02-01,Holanda,Chrysal Root R,2,Fungicida,76056.36,37594.92,271
SO-000272,2025-04-01,Kenya,Chrysal Root R,3,Regulador de crecimiento,6772.16,3123.54,272
SO-000273,2025-02-01,Holanda,Chrysal Grow X,2,Fungicida,89776.13,44989.32,273
SO-000274,2025-02-01,Holanda,Chrysal Boost Z,1,Regulador de crecimiento,90659.22,50362.35,274
SO-000275,2022-02-01,Kenya,Chrysal Flora F,3,Insecticida,125451.86,60758.75,275
SO-000276,2025-03-01,Ecuador,Chrysal Protect Y,3,Fungicida,13303.99,6432.37,276
SO-000277,2022-03-01,Kenya,Chrysal Root R,3,Regulador de crecimiento,13676.21,7419.6,277
SO-000278,2023-02-01,Ecuador,Chrysal Flora F,3,Fertilizante,152610.61,69690.18,278
SO-000279,2022-04-01,Colombia,Chrysal Boost Z,1,Insecticida,97493.65,46248.81,279
SO-000280,2023-01-01,Ecuador,Chrysal Protect Y,3,Insecticida,5525.77,2946.19,280
SO-000281,2025-04-01,Ecuador,Chrysal Protect Y,4,Fertilizante,145711.96,67410.14,281
