Sales_order_number,Product_reference,Production_cost,Waste_kg,Disposal_waste_cost
SO-000161,Chrysal Boost Z,9099.36,254.15,127.075
SO-000162,Chrysal Root R,50927.97,478.56,239.28
SO-000163,Chrysal Root R,38289.12,536.66,268.33
SO-000164,Chrysal Grow X,4570.96,,
SO-000165,Chrysal Flora F,99845.79,793.24,396.62
SO-000166,Chrysal Flora F,44618.31,720.92,360.46
SO-000167,Chrysal Root R,46609.93,869.91,434.955
SO-000168,Chrysal Boost Z,22448.4,354.07,177.035
SO-000169,Chrysal Protect Y,11912.86,333.94,166.97
SO-000170,Chrysal Boost Z,6745.99,152.8,76.4
SO-000171,Chrysal Protect Y,28999.1,271.08,135.54
SO-000172,Chrysal Root R,19670.67,704.99,352.495
SO-000173,Chrysal Protect Y,57626.34,1250.32,625.16
SO-000174,Chrysal Flora F,66653.59,1885.83,942.915
SO-000175,Chrysal Grow X,91485.93,732.26,366.13
SO-000176,Chrysal Grow X,41601.04,406.21,203.105
SO-000177,Chrysal Root R,36025.07,310.5,155.25
SO-000178,Chrysal Flora F,92211.07,907.0,453.5
SO-000179,Chrysal Boost Z,70025.59,975.98,487.99
SO-000180,Chrysal Flora F,65493.58,2463.82,1231.91
SO-000181,Chrysal Grow X,49998.86,827.73,413.865
SO-000182,Chrysal Grow X,39018.0,592.73,296.365
SO-000183,Chrysal Flora F,69448.46,1437.77,718.885
SO-000184,Chrysal Flora F,54211.25,402.61,201.305
SO-000185,Chrysal Grow X,100459.2,1793.73,896.865
SO-000186,Chrysal Boost Z,49417.99,883.17,441.585
SO-000187,Chrysal Root R,47877.48,1403.8,701.9
SO-000188,Chrysal Root R,36842.56,916.75,458.375
SO-000189,Chrysal Flora F,28395.36,457.96,228.98
SO-000190,Chrysal Root R,73449.0,1024.69,512.345
SO-000191,Chrysal Grow X,44269.99,1302.3,651.15
SO-000192,Chrysal Grow X,78446.27,1869.45,934.725
SO-000193,Chrysal Flora F,23921.75,365.1,182.55
SO-000194,Chrysal Flora F,31275.98,630.27,315.135
SO-000195,Chrysal Flora F,69045.05,561.37,280.685
SO-000196,Chrysal Boost Z,61810.47,1347.58,673.79
SO-000197,Chrysal Root R,72091.1,761.2,380.6
SO-000198,Chrysal Flora F,11700.15,244.75,122.375
SO-000199,Chrysal Protect Y,62335.5,1914.59,957.295
SO-000200,Chrysal Protect Y,53683.11,561.52,280.76
SO-000201,Chrysal Grow X,133538.81,1689.21,844.605
SO-000202,Chrysal Root R,73876.61,935.91,467.955
SO-000203,Chrysal Flora F,51331.4,1568.8,784.4
SO-000204,Chrysal Protect Y,30194.12,859.4,429.7
SO-000205,Chrysal Root R,88992.09,1608.34,804.17
SO-000206,Chrysal Grow X,54561.53,1277.45,638.725
SO-000207,Chrysal Boost Z,40248.68,760.14,380.07
SO-000208,Chrysal Root R,43698.64,568.19,284.095
SO-000209,Chrysal Root R,40355.52,950.79,475.395
SO-000210,Chrysal Boost Z,62592.84,1356.77,678.385
SO-000211,Chrysal Root R,76375.35,1285.67,642.835
SO-000212,Chrysal Grow X,47079.81,486.79,243.395
SO-000213,Chrysal Grow X,60639.18,669.33,334.665
SO-000214,Chrysal Boost Z,42721.12,624.91,312.455
SO-000215,Chrysal Flora F,86580.7,2078.09,1039.045
SO-000216,Chrysal Protect Y,31054.72,674.54,337.27
SO-000217,Chrysal Flora F,66145.12,1498.01,749.005
SO-000218,Chrysal Root R,77672.93,1155.21,577.605
SO-000219,Chrysal Protect Y,106878.35,1097.86,548.93
SO-000220,Chrysal Boost Z,35895.02,710.02,355.01
SO-000221,Chrysal Boost Z,83476.38,1659.88,829.94
SO-000222,Chrysal Protect Y,67884.8,1252.34,626.17
SO-000223,Chrysal Grow X,24227.84,611.13,305.565
SO-000224,Chrysal Protect Y,109566.47,1907.41,953.705
SO-000225,Chrysal Root R,72616.96,1138.16,569.08
SO-000226,Chrysal Grow X,85316.24,1581.0,790.5
SO-000227,Chrysal Boost Z,20212.82,454.74,227.37
SO-000228,Chrysal Protect Y,54567.16,1997.5,998.75
SO-000229,Chrysal Flora F,62961.54,550.75,275.375
SO-000230,Chrysal Flora F,9492.77,182.59,91.295
SO-000231,Chrysal Root R,44389.05,1175.43,587.715
SO-000232,Chrysal Flora F,36032.79,1031.48,515.74
SO-000233,Chrysal Protect Y,40632.18,354.58,177.29
SO-000234,Chrysal Protect Y,16628.54,293.38,146.69
SO-000235,Chrysal Flora F,72275.89,2450.54,1225.27
SO-000236,Chrysal Protect Y,68154.9,1104.28,552.14
SO-000237,Chrysal Root R,29714.66,973.32,486.66
SO-000238,Chrysal Grow X,26577.53,245.59,122.795
SO-000239,Chrysal Root R,22737.34,232.68,116.34
SO-000240,Chrysal Root R,15828.78,120.76,60.38
SO-000241,Chrysal Protect Y,30403.01,307.31,153.655
SO-000242,Chrysal Grow X,77933.28,1974.53,987.265
SO-000243,Chrysal Protect Y,7109.15,85.51,42.755
SO-000244,Chrysal Boost Z,97693.13,1062.97,531.485
SO-000245,Chrysal Protect Y,80345.27,599.59,299.795
SO-000246,Chrysal Protect Y,97611.52,896.47,448.235
SO-000247,Chrysal Protect Y,53502.2,,
SO-000248,Chrysal Grow X,99780.51,2025.9,1012.95
SO-000249,Chrysal Protect Y,28344.02,334.76,167.38
SO-000250,Chrysal Grow X,36803.22,846.79,423.395
SO-000251,Chrysal Flora F,92301.21,2253.53,1126.765
SO-000252,Chrysal Boost Z,12170.82,74.95,37.475
SO-000253,Chrysal Grow X,6226.65,251.47,125.735
SO-000254,Chrysal Flora F,26076.03,279.69,139.845
SO-000255,Chrysal Grow X,86907.3,1191.98,595.99
SO-000256,Chrysal Grow X,35160.19,252.96,126.48
SO-000257,Chrysal Boost Z,90493.6,1219.21,609.605
SO-000258,Chrysal Root R,65491.01,1554.59,777.295
SO-000259,Chrysal Root R,51470.29,1449.74,724.87
SO-000260,Chrysal Grow X,47310.85,847.39,423.695
SO-000261,Chrysal Protect Y,20335.99,502.56,251.28
SO-000262,Chrysal Flora F,6615.52,84.81,42.405
SO-000263,Chrysal Protect Y,61326.18,1596.57,798.285
SO-000264,Chrysal Protect Y,51316.31,691.94,345.97
SO-000265,Chrysal Grow X,76511.68,754.86,377.43
SO-000266,Chrysal Grow X,2585.94,37.54,18.77
SO-000267,Chrysal Grow X,37752.99,448.05,224.025
SO-000268,Chrysal Grow X,77262.17,1712.73,856.365
SO-000269,Chrysal Root R,95591.39,2408.76,1204.38
SO-000270,Chrysal Grow X,51456.48,512.2,256.1
SO-000271,Chrysal Root R,37594.92,864.48,432.24
SO-000272,Chrysal Root R,3123.54,87.71,43.855
SO-000273,Chrysal Grow X,44989.32,1425.9,712.95
SO-000274,Chrysal Boost Z,50362.35,668.86,334.43
SO-000275,Chrysal Flora F,60758.75,1055.02,527.51
SO-000276,Chrysal Protect Y,6432.37,163.41,81.705
SO-000277,Chrysal Root R,7419.6,139.34,69.67
SO-000278,Chrysal Flora F,69690.18,1147.06,573.53
SO-000279,Chrysal Boost Z,46248.81,532.24,266.12
SO-000280,Chrysal Protect Y,2946.19,34.82,17.41
SO-000281,Chrysal Protect Y,67410.14,1510.76,755.38
SO-000282,Chrysal Root R,29963.71,814.62,407.31
SO-000283,Chrysal Grow X,24933.09,288.08,144.04
SO-000284,Chrysal Boost Z,50588.38,1139.39,569.695
SO-000285,Chrysal Root R,135566.84,1840.84,920.42
SO-000286,Chrysal Boost Z,24706.78,428.0,214.0
SO-000287,Chrysal Grow X,21474.92,419.6,209.8
SO-000288,Chrysal Grow X,14480.32,403.64,201.82
SO-000289,Chrysal Root R,76426.38,1000.95,500.475
SO-000290,Chrysal Grow X,51338.32,1446.21,723.105
SO-000291,Chrysal Flora F,13156.13,147.39,73.695
SO-000292,Chrysal Protect Y,95963.12,826.37,413.185
SO-000293,Chrysal Root R,14303.17,200.52,100.26
SO-000294,Chrysal Boost Z,35741.0,407.88,203.94
SO-000295,Chrysal Flora F,65921.34,813.52,406.76
SO-000296,Chrysal Root R,81708.81,758.88,379.44
SO-000297,Chrysal Grow X,75511.74,1396.91,698.455
SO-000298,Chrysal Grow X,59838.95,,
SO-000299,Chrysal Grow X,13990.36,375.87,187.935
SO-000300,Chrysal Grow X,52239.73,415.77,207.885
SO-000301,Chrysal Boost Z,23584.12,875.1,437.55
SO-000302,Chrysal Flora F,35864.08,1217.29,608.645
SO-000303,Chrysal Protect Y,3466.24,24.26,12.13
SO-000304,Chrysal Boost Z,120181.45,2275.59,1137.795
SO-000305,Chrysal Boost Z,8598.61,134.99,67.495
SO-000306,Chrysal Protect Y,37978.14,974.32,487.16
SO-000307,Chrysal Protect Y,14372.68,297.11,148.555
SO-000308,Chrysal Grow X,75820.18,1934.96,967.48
SO-000309,Chrysal Boost Z,4943.94,153.24,76.62
SO-000310,Chrysal Root R,12782.43,200.75,100.375
SO-000311,Chrysal Protect Y,56832.54,355.57,177.785
SO-000312,Chrysal Protect Y,69069.02,2030.37,1015.185
SO-000313,Chrysal Flora F,62525.66,1153.31,576.655
SO-000314,Chrysal Root R,82056.1,1009.04,504.52
SO-000315,Chrysal Root R,41687.47,369.74,184.87
SO-000316,Chrysal Protect Y,53590.34,1069.36,534.68
SO-000317,Chrysal Grow X,64852.64,1682.93,841.465
SO-000318,Chrysal Flora F,26720.96,465.64,232.82
SO-000319,Chrysal Root R,53325.71,1099.03,549.515
SO-000320,Chrysal Protect Y,26600.7,738.08,369.04
SO-000321,Chrysal Root R,76710.38,1506.85,753.425
SO-000322,Chrysal Flora F,37474.66,551.42,275.71
SO-000323,Chrysal Flora F,46646.07,655.82,327.91
SO-000324,Chrysal Boost Z,31354.09,617.1,308.55
SO-000325,Chrysal Protect Y,3393.86,55.29,27.645
SO-000326,Chrysal Flora F,52332.91,605.66,302.83
SO-000327,Chrysal Boost Z,50653.19,491.91,245.955
SO-000328,Chrysal Boost Z,89617.6,1338.05,669.025
SO-000329,Chrysal Root R,92755.55,1090.0,545.0
SO-000330,Chrysal Root R,51310.86,610.45,305.225
SO-000331,Chrysal Boost Z,5745.6,161.6,80.8
SO-000332,Chrysal Root R,42495.23,516.41,258.205
SO-000333,Chrysal Flora F,34419.67,730.4,365.2
SO-000334,Chrysal Grow X,20828.31,282.5,141.25
SO-000335,Chrysal Flora F,62106.32,1602.43,801.215
SO-000336,Chrysal Boost Z,4293.38,106.86,53.43
SO-000337,Chrysal Boost Z,107010.92,666.5,333.25
SO-000338,Chrysal Flora F,61806.76,1025.52,512.76
SO-000339,Chrysal Root R,63060.58,,
SO-000340,Chrysal Root R,48592.69,1238.09,619.045
SO-000341,Chrysal Boost Z,51639.86,1590.85,795.425
SO-000342,Chrysal Protect Y,71046.77,1210.91,605.455
SO-000343,Chrysal Root R,37318.27,609.1,304.55
SO-000344,Chrysal Flora F,65770.83,755.92,377.96
SO-000345,Chrysal Root R,25967.73,544.67,272.335
SO-000346,Chrysal Flora F,85003.75,1072.33,536.165
SO-000347,Chrysal Boost Z,14837.67,164.65,82.325
SO-000348,Chrysal Root R,35178.77,769.39,384.695
SO-000349,Chrysal Flora F,30038.26,268.68,134.34
SO-000350,Chrysal Boost Z,48019.88,1525.43,762.715
SO-000351,Chrysal Protect Y,90935.01,529.33,264.665
SO-000352,Chrysal Flora F,61449.57,1392.28,696.14
SO-000353,Chrysal Protect Y,52875.0,755.09,377.545
SO-000354,Chrysal Protect Y,63452.11,541.95,270.975
SO-000355,Chrysal Grow X,90469.24,1746.46,873.23
SO-000356,Chrysal Root R,71315.74,2131.94,1065.97
SO-000357,Chrysal Flora F,81259.99,2251.14,1125.57
SO-000358,Chrysal Protect Y,20039.2,381.17,190.585
SO-000359,Chrysal Grow X,55328.84,540.97,270.485
SO-000360,Chrysal Boost Z,82627.09,2218.24,1109.12
SO-000361,Chrysal Flora F,49101.45,1246.38,623.19
SO-000362,Chrysal Protect Y,7854.14,78.69,39.345
SO-000363,Chrysal Root R,46531.03,1080.01,540.005
SO-000364,Chrysal Grow X,57565.23,1585.66,792.83
SO-000365,Chrysal Protect Y,74952.52,2294.37,1147.185
SO-000366,Chrysal Root R,64454.27,1747.14,873.57
SO-000367,Chrysal Protect Y,76971.19,2338.58,1169.29
SO-000368,Chrysal Flora F,44558.63,345.33,172.665
SO-000369,Chrysal Flora F,18504.52,172.17,86.085
SO-000370,Chrysal Flora F,29358.27,629.37,314.685
SO-000371,Chrysal Grow X,79920.93,1219.02,609.51
SO-000372,Chrysal Flora F,11254.42,233.45,116.725
SO-000373,Chrysal Root R,102418.26,1118.36,559.18
SO-000374,Chrysal Protect Y,73364.99,1512.97,756.485
SO-000375,Chrysal Boost Z,94951.19,1607.95,803.975
SO-000376,Chrysal Root R,96021.74,606.56,303.28
SO-000377,Chrysal Root R,4923.78,82.62,41.31
SO-000378,Chrysal Flora F,71950.16,1622.27,811.135
SO-000379,Chrysal Grow X,79198.19,1478.63,739.315
SO-000380,Chrysal Protect Y,64900.95,522.09,261.045
SO-000381,Chrysal Grow X,12257.39,179.56,89.78
SO-000382,Chrysal Protect Y,77752.23,1890.24,945.12
SO-000383,Chrysal Protect Y,84469.5,1297.17,648.585
SO-000384,Chrysal Grow X,43346.21,367.47,183.735
SO-000385,Chrysal Root R,107125.13,1451.37,725.685
SO-000386,Chrysal Protect Y,47124.8,756.98,378.49
SO-000387,Chrysal Grow X,58331.54,1287.79,643.895
SO-000388,Chrysal Protect Y,5961.06,57.87,28.935
SO-000389,Chrysal Boost Z,10976.22,274.98,137.49
SO-000390,Chrysal Root R,42886.1,304.83,152.415
SO-000391,Chrysal Flora F,96879.46,1404.56,702.28
SO-000392,Chrysal Protect Y,39556.12,1037.57,518.785
SO-000393,Chrysal Boost Z,62168.02,1131.93,565.965
SO-000394,Chrysal Flora F,26331.95,476.83,238.415
SO-000395,Chrysal Flora F,8943.15,102.62,51.31
SO-000396,Chrysal Protect Y,43334.76,577.38,288.69
SO-000397,Chrysal Grow X,41539.34,929.89,464.945
SO-000398,Chrysal Protect Y,12449.05,144.58,72.29
SO-000399,Chrysal Boost Z,96719.6,2577.55,1288.775
SO-000400,Chrysal Flora F,6711.99,150.78,75.39
SO-000401,Chrysal Protect Y,111498.2,1310.41,655.205
SO-000402,Chrysal Grow X,72677.14,438.58,219.29
SO-000403,Chrysal Protect Y,44805.3,705.52,352.76
SO-000404,Chrysal Root R,66660.16,1185.96,592.98
SO-000405,Chrysal Grow X,3663.49,31.69,15.845
SO-000406,Chrysal Boost Z,8883.01,186.07,93.035
SO-000407,Chrysal Flora F,31166.14,438.26,219.13
SO-000408,Chrysal Protect Y,41814.95,842.54,421.27
SO-000409,Chrysal Grow X,52826.22,411.8,205.9
SO-000410,Chrysal Root R,7593.47,208.21,104.105
SO-000411,Chrysal Grow X,33156.37,,
SO-000412,Chrysal Root R,90506.54,950.51,475.255
SO-000413,Chrysal Boost Z,74230.58,1141.15,570.575
SO-000414,Chrysal Flora F,30716.44,,
SO-000415,Chrysal Boost Z,16592.25,486.45,243.225
SO-000416,Chrysal Protect Y,34460.97,583.1,291.55
SO-000417,Chrysal Grow X,51076.76,505.13,252.565
SO-000418,Chrysal Root R,32824.64,759.14,379.57
SO-000419,Chrysal Root R,57699.67,1019.49,509.745
SO-000420,Chrysal Grow X,25750.51,436.0,218.0
SO-000421,Chrysal Grow X,115764.96,1790.76,895.38
SO-000422,Chrysal Protect Y,61395.83,1085.0,542.5
SO-000423,Chrysal Boost Z,9307.88,334.09,167.045
SO-000424,Chrysal Root R,12456.04,148.85,74.425
SO-000425,Chrysal Protect Y,94976.91,701.2,350.6
SO-000426,Chrysal Boost Z,11193.61,242.79,121.395
SO-000427,Chrysal Protect Y,98202.06,1801.12,900.56
SO-000428,Chrysal Root R,3657.46,,
SO-000429,Chrysal Grow X,18142.05,282.9,141.45
SO-000430,Chrysal Grow X,80688.76,877.59,438.795
SO-000431,Chrysal Boost Z,31603.13,523.35,261.675
SO-000432,Chrysal Flora F,12240.93,356.29,178.145
SO-000433,Chrysal Boost Z,40083.73,315.16,157.58
SO-000434,Chrysal Flora F,60967.67,1258.34,629.17
SO-000435,Chrysal Protect Y,28236.09,767.36,383.68
SO-000436,Chrysal Protect Y,82306.0,2012.39,1006.195
SO-000437,Chrysal Root R,4676.61,91.35,45.675
SO-000438,Chrysal Flora F,72213.81,1559.54,779.77
SO-000439,Chrysal Root R,75580.4,1266.98,633.49
SO-000440,Chrysal Grow X,78363.54,1721.5,860.75
SO-000441,Chrysal Flora F,21073.44,417.44,208.72
SO-000442,Chrysal Boost Z,84583.68,667.64,333.82
SO-000443,Chrysal Grow X,35069.05,519.44,259.72
SO-000444,Chrysal Grow X,34438.38,433.05,216.525
SO-000445,Chrysal Boost Z,84311.51,1911.68,955.84
SO-000446,Chrysal Grow X,57834.99,1031.8,515.9
SO-000447,Chrysal Flora F,81690.45,1280.46,640.23
SO-000448,Chrysal Root R,6585.54,187.83,93.915
SO-000449,Chrysal Grow X,37384.05,328.88,164.44
SO-000450,Chrysal Flora F,84769.45,902.91,451.455
SO-000451,Chrysal Protect Y,5299.9,96.11,48.055
SO-000452,Chrysal Flora F,60691.49,1101.32,550.66
SO-000453,Chrysal Root R,15563.08,110.11,55.055
SO-000454,Chrysal Flora F,20957.54,155.16,77.58
SO-000455,Chrysal Boost Z,26480.8,511.81,255.905
SO-000456,Chrysal Root R,36912.54,1144.07,572.035
SO-000457,Chrysal Protect Y,25582.35,581.05,290.525
SO-000458,Chrysal Boost Z,6594.29,87.37,43.685
SO-000459,Chrysal Flora F,92726.68,1142.21,571.105
SO-000460,Chrysal Root R,4697.48,119.86,59.93
SO-000461,Chrysal Protect Y,33377.78,709.87,354.935
SO-000462,Chrysal Boost Z,49104.68,983.6,491.8
SO-000463,Chrysal Protect Y,78239.72,1024.43,512.215
SO-000464,Chrysal Flora F,114124.29,,
SO-000465,Chrysal Protect Y,76051.98,617.09,308.545
SO-000466,Chrysal Grow X,52724.42,981.94,490.97
SO-000467,Chrysal Boost Z,63681.14,1671.39,835.695
SO-000468,Chrysal Protect Y,75372.24,1746.31,873.155
SO-000469,Chrysal Flora F,81914.74,,
SO-000470,Chrysal Flora F,54816.4,1674.4,837.2
SO-000471,Chrysal Protect Y,21910.36,,
SO-000472,Chrysal Flora F,44383.08,638.13,319.065
SO-000473,Chrysal Root R,78616.88,,
SO-000474,Chrysal Root R,59193.84,1525.06,762.53
