sales_order_number,fecha,pais,product_reference,campaign_id,category_product,sales_revenue,production_cost_usd
SO-000061,2025-04-21,Kenya,Chrysal Grow X,1,Regulador de creci,97344.65,50359.8
SO-000062,2024-11-10,Kenya,Chrysal Boost Z,2,Regulador de creci,75858.59,51210.5
SO-000063,2023-12-01,Colombia,Chrysal Protect Y,3,Fungicida,70439.81,50225.4
SO-000064,2025-06-01,Ecuador,Chrysal Flora F,1,Fungicida,74912.41,51483.4
SO-000065,2024-01-10,Colombia,Chrysal Flora F,4,Insecticida,38517.85,51740.5
SO-000066,2023-10-25,Colombia,Chrysal Grow X,2,Fertilizante,77362.18,51190.6
SO-000067,2025-04-05,Colombia,Chrysal Grow X,4,Fungicida,88880.99,49703.0
SO-000068,2023-12-04,Ecuador,Chrysal Flora F,2,Insecticida,135513.9,50323.2
SO-000069,2023-03-11,Colombia,Chrysal Root R,2,Regulador de creci,82579.97,51395.3
SO-000070,2024-03-04,Ecuador,Chrysal Flora F,3,Insecticida,30000.0,51014.8
SO-000071,2024-12-26,Kenya,Chrysal Protect Y,4,Fungicida,77180.44,49114.2
SO-000072,2023-06-22,Colombia,Chrysal Grow X,2,Regulador de creci,162185.12,51870.0
SO-000073,2024-02-27,Colombia,Chrysal Flora F,2,Insecticida,105990.99,51095.7
SO-000074,2023-04-29,Colombia,Chrysal Grow X,3,Nutricional,55673.33,50426.6
SO-000075,2024-09-18,Kenya,Chrysal Boost Z,3,Fertilizante,97733.2,51696.5
SO-000076,2024-03-09,Ecuador,Chrysal Boost Z,1,Fungicida,57739.6,50525.7
SO-000077,2023-10-29,Colombia,Chrysal Boost Z,2,Fertilizante,39385.77,50518.1
SO-000078,2023-07-26,Ecuador,Chrysal Protect Y,2,Fertilizante,69548.92,51250.8
SO-000079,2024-05-29,Colombia,Chrysal Protect Y,4,Fertilizante,82745.79,52246.7
SO-000080,2024-09-02,Ecuador,Chrysal Flora F,2,Nutricional,30000.0,52136.5
SO-000081,2025-05-07,Ecuador,Chrysal Flora F,2,Nutricional,45525.22,51251.8
SO-000082,2024-02-03,Ecuador,Chrysal Boost Z,4,Nutricional,80310.07,51323.7
SO-000083,2023-05-27,Kenya,Chrysal Grow X,2,Nutricional,67754.8,51554.0
SO-000084,2025-01-29,Ecuador,Chrysal Protect Y,1,Fungicida,91844.34,50120.1
SO-000085,2024-07-28,Colombia,Chrysal Flora F,1,Fertilizante,43559.95,51450.9
SO-000086,2024-09-30,Colombia,Chrysal Root R,1,Regulador de creci,101423.41,50486.1
SO-000087,2023-03-30,Colombia,Chrysal Boost Z,1,Fertilizante,44487.23,51222.9
SO-000088,2023-10-12,Kenya,Chrysal Boost Z,2,Insecticida,129282.03,50840.8
SO-000089,2024-12-01,Kenya,Chrysal Grow X,4,Fungicida,30000.0,51350.8
SO-000090,2025-01-29,Kenya,Chrysal Protect Y,3,Regulador de creci,47223.37,51082.7
SO-000091,2024-02-01,Ecuador,Chrysal Root R,1,Regulador de creci,92521.12,48848.9
SO-000092,2025-01-03,Colombia,Chrysal Flora F,2,Regulador de creci,129927.0,51125.2
SO-000093,2025-02-06,Kenya,Chrysal Flora F,1,Insecticida,89451.29,51449.5
SO-000094,2023-12-20,Colombia,Chrysal Flora F,4,Insecticida,96885.74,51312.1
SO-000095,2025-03-30,Holanda,Chrysal Boost Z,1,Regulador de creci,330915.61,50928.2
SO-000096,2023-09-20,Kenya,Chrysal Root R,3,Insecticida,49208.05,52149.5
SO-000097,2023-08-07,Ecuador,Chrysal Protect Y,2,Fertilizante,65295.85,51218.0
SO-000098,2024-09-14,Kenya,Chrysal Flora F,3,Fungicida,43642.71,51306.4
SO-000099,2024-08-03,Colombia,Chrysal Boost Z,2,Insecticida,41638.7,51731.1
SO-000100,2023-05-08,Kenya,Chrysal Flora F,4,Insecticida,92052.47,51253.8
SO-000101,2025-01-29,Colombia,Chrysal Grow X,1,Regulador de creci,46304.66,50371.4
SO-000102,2023-07-02,Ecuador,Chrysal Flora F,4,Regulador de creci,89586.62,49293.2
SO-000103,2025-01-04,Kenya,Chrysal Grow X,2,Nutricional,40945.32,50666.0
SO-000104,2023-01-07,Colombia,Chrysal Grow X,4,Fertilizante,88891.49,51532.7
SO-000105,2024-12-27,Colombia,Chrysal Boost Z,4,Insecticida,65339.52,50752.8
SO-000106,2024-12-18,Colombia,Chrysal Grow X,4,Nutricional,122198.47,51560.8
SO-000107,2024-12-12,Ecuador,Chrysal Grow X,1,Fungicida,89711.57,51104.1
SO-000108,2024-08-29,Holanda,Chrysal Grow X,2,Insecticida,246035.94,51901.6
SO-000109,2024-03-06,Ecuador,Chrysal Boost Z,2,Regulador de creci,57330.6,50793.3
SO-000110,2024-10-05,Kenya,Chrysal Flora F,2,Fungicida,81684.3,51327.3
SO-000111,2023-09-10,Kenya,Chrysal Grow X,2,Nutricional,50567.39,51354.1
SO-000112,2024-12-13,Colombia,Chrysal Protect Y,4,Nutricional,67591.84,52051.1
SO-000113,2024-05-21,Ecuador,Chrysal Flora F,4,Nutricional,72136.87,49805.4
SO-000114,2024-02-23,Holanda,Chrysal Grow X,2,Regulador de creci,30000.0,50679.1
SO-000115,2024-04-06,Kenya,Chrysal Grow X,3,Nutricional,43534.91,51594.0
SO-000116,2024-06-02,Kenya,Chrysal Flora F,4,Regulador de creci,37594.48,52082.1
SO-000117,2023-02-03,Kenya,Chrysal Flora F,4,Fungicida,30000.0,51168.1
SO-000118,2023-05-08,Ecuador,Chrysal Boost Z,1,Fungicida,48309.61,50795.1
SO-000119,2023-08-12,Colombia,Chrysal Flora F,2,Nutricional,98824.82,51530.0
SO-000120,2023-04-15,Kenya,Chrysal Grow X,4,Fertilizante,32045.04,51608.1
SO-000121,2024-02-05,Holanda,Chrysal Boost Z,2,Fungicida,30000.0,50748.2
SO-000122,2024-09-01,Holanda,Chrysal Protect Y,2,Regulador de creci,114904.22,51231.2
SO-000123,2024-08-19,Colombia,Chrysal Root R,4,Nutricional,60905.12,51826.4
SO-000124,2024-03-05,Colombia,Chrysal Protect Y,4,Fertilizante,89631.38,52323.3
SO-000125,2025-02-18,Holanda,Chrysal Boost Z,4,Regulador de creci,52476.15,51519.8
SO-000126,2024-05-30,Holanda,Chrysal Protect Y,4,Nutricional,347794.29,51030.9
SO-000127,2023-03-14,Holanda,Chrysal Boost Z,2,Nutricional,97945.65,50962.1
SO-000128,2024-11-28,Kenya,Chrysal Root R,2,Fertilizante,73068.21,51390.2
SO-000129,2024-06-08,Kenya,Chrysal Root R,2,Fungicida,31453.18,50919.0
SO-000130,2024-08-01,Holanda,Chrysal Root R,2,Fertilizante,91716.41,51132.7
SO-000131,2024-05-30,Holanda,Chrysal Protect Y,2,Fungicida,231547.39,50259.5
SO-000132,2024-05-19,Colombia,Chrysal Grow X,3,Fertilizante,48564.79,51907.9
SO-000133,2023-03-24,Kenya,Chrysal Grow X,2,Fungicida,48781.97,50201.9
SO-000134,2024-05-24,Holanda,Chrysal Grow X,3,Fungicida,56781.26,50697.5
SO-000135,2024-12-25,Colombia,Chrysal Grow X,2,Fungicida,120577.82,51068.3
SO-000136,2023-10-05,Holanda,Chrysal Flora F,2,Regulador de creci,139542.33,52393.7
SO-000137,2024-07-03,Holanda,Chrysal Boost Z,1,Insecticida,269705.18,50704.1
SO-000138,2023-01-29,Colombia,Chrysal Flora F,1,Fungicida,40387.31,50533.8
SO-000139,2023-11-13,Kenya,Chrysal Grow X,4,Regulador de creci,30000.0,50614.4
SO-000140,2024-02-03,Kenya,Chrysal Protect Y,2,Regulador de creci,72676.74,52161.2
SO-000141,2025-06-15,Kenya,Chrysal Boost Z,1,Nutricional,70509.04,49031.4
SO-000142,2023-07-15,Kenya,Chrysal Boost Z,4,Fertilizante,60461.12,50298.1
SO-000143,2023-09-10,Kenya,Chrysal Flora F,2,Nutricional,86641.26,52911.9
SO-000144,2024-01-08,Holanda,Chrysal Flora F,1,Fungicida,320311.77,51413.6
SO-000145,2025-06-24,Ecuador,Chrysal Flora F,2,Insecticida,89692.5,50225.8
SO-000146,2025-02-17,Kenya,Chrysal Grow X,1,Fertilizante,70516.25,50970.7
SO-000147,2023-02-01,Holanda,Chrysal Root R,3,Fungicida,30000.0,51047.2
SO-000148,2023-08-02,Kenya,Chrysal Protect Y,2,Regulador de creci,99974.99,51592.3
SO-000149,2025-01-19,Holanda,Chrysal Root R,1,Fertilizante,193363.95,52287.7
SO-000150,2023-02-23,Kenya,Chrysal Protect Y,1,Fertilizante,106650.73,51272.0
SO-000151,2025-02-19,Kenya,Chrysal Boost Z,2,Regulador de creci,103702.27,50622.1
SO-000152,2023-09-14,Ecuador,Chrysal Boost Z,1,Nutricional,37347.14,51551.0
SO-000153,2025-04-16,Ecuador,Chrysal Flora F,4,Regulador de creci,36973.33,50511.2
SO-000154,2023-09-25,Kenya,Chrysal Protect Y,1,Nutricional,57333.78,50276.7
SO-000155,2024-02-01,Kenya,Chrysal Grow X,3,Fungicida,48312.04,49768.1
SO-000156,2024-08-26,Ecuador,Chrysal Grow X,2,Fungicida,102657.55,49904.4
SO-000157,2023-04-26,Holanda,Chrysal Protect Y,2,Nutricional,30000.0,50372.5
SO-000158,2024-05-23,Ecuador,Chrysal Boost Z,1,Insecticida,112975.52,50175.5
SO-000159,2024-04-05,Kenya,Chrysal Root R,4,Nutricional,91894.6,51219.3
SO-000160,2024-12-15,Colombia,Chrysal Boost Z,4,Insecticida,86259.49,50160.4
SO-000161,2025-06-27,Colombia,Chrysal Protect Y,1,Fertilizante,115991.89,48799.4
SO-000162,2024-08-28,Ecuador,Chrysal Flora F,1,Fertilizante,94091.82,50269.3
SO-000163,2024-01-09,Colombia,Chrysal Boost Z,4,Regulador de creci,82043.03,50669.7
SO-000164,2024-01-06,Holanda,Chrysal Root R,2,Fertilizante,30000.0,50576.2
SO-000165,2024-01-17,Holanda,Chrysal Root R,1,Insecticida,339322.15,52063.7
SO-000166,2025-01-12,Colombia,Chrysal Boost Z,1,Regulador de creci,70869.78,50570.5
SO-000167,2023-10-20,Holanda,Chrysal Root R,3,Fungicida,194122.1,51616.6
SO-000168,2023-06-02,Kenya,Chrysal Boost Z,3,Fertilizante,101090.76,50986.7
SO-000169,2023-11-01,Colombia,Chrysal Protect Y,2,Fertilizante,117111.52,50970.4
SO-000170,2023-01-21,Ecuador,Chrysal Grow X,4,Fertilizante,78482.38,50415.2
SO-000171,2023-04-07,Ecuador,Chrysal Grow X,2,Fertilizante,119237.47,50958.9
SO-000172,2023-03-24,Holanda,Chrysal Root R,2,Fertilizante,30000.0,50464.4
SO-000173,2024-12-04,Colombia,Chrysal Flora F,2,Insecticida,78336.4,51119.0
SO-000174,2024-10-20,Kenya,Chrysal Protect Y,2,Fertilizante,78797.15,50834.6
SO-000175,2024-09-27,Colombia,Chrysal Grow X,1,Regulador de creci,58190.17,50338.8
SO-000176,2024-02-26,Holanda,Chrysal Flora F,1,Regulador de creci,142395.4,51694.3
SO-000177,2024-10-15,Ecuador,Chrysal Boost Z,2,Regulador de creci,78014.22,51298.8
SO-000178,2023-05-28,Ecuador,Chrysal Boost Z,3,Insecticida,67768.08,50686.4
SO-000179,2025-04-01,Ecuador,Chrysal Flora F,1,Insecticida,80778.86,51101.8
SO-000180,2024-04-01,Holanda,Chrysal Grow X,2,Insecticida,208140.59,50941.3
SO-000181,2025-05-05,Kenya,Chrysal Root R,3,Fungicida,57203.96,50392.7
SO-000182,2023-05-19,Kenya,Chrysal Boost Z,3,Regulador de creci,109497.2,51049.3
SO-000183,2024-03-29,Holanda,Chrysal Grow X,4,Fertilizante,30000.0,50565.3
SO-000184,2024-09-27,Kenya,Chrysal Protect Y,4,Nutricional,55133.75,50338.5
SO-000185,2024-03-28,Colombia,Chrysal Root R,3,Regulador de creci,119285.77,49864.1
SO-000186,2024-02-11,Colombia,Chrysal Grow X,1,Regulador de creci,120207.63,50749.0
SO-000187,2023-06-01,Kenya,Chrysal Root R,2,Regulador de creci,95509.71,51396.9
SO-000188,2023-12-14,Colombia,Chrysal Boost Z,3,Insecticida,66346.48,50513.7
SO-000189,2023-08-06,Colombia,Chrysal Grow X,1,Fertilizante,72815.87,52764.5
SO-000190,2023-10-02,Ecuador,Chrysal Grow X,1,Fungicida,55875.5,51620.0
SO-000191,2024-09-15,Ecuador,Chrysal Flora F,1,Nutricional,50156.81,51913.0
SO-000192,2024-07-28,Kenya,Chrysal Root R,2,Nutricional,48667.51,51556.7
SO-000193,2024-07-07,Ecuador,Chrysal Root R,2,Regulador de creci,61458.37,52297.0
SO-000194,2023-11-26,Ecuador,Chrysal Grow X,1,Fertilizante,48958.37,50449.1
SO-000195,2025-05-25,Colombia,Chrysal Root R,4,Insecticida,33088.85,49207.5
SO-000196,2023-03-21,Holanda,Chrysal Root R,4,Fertilizante,94538.57,50687.7
SO-000197,2023-11-09,Holanda,Chrysal Protect Y,1,Nutricional,119828.83,51390.8
SO-000198,2023-04-18,Colombia,Chrysal Root R,4,Fertilizante,131023.78,51106.1
SO-000199,2023-11-06,Ecuador,Chrysal Flora F,1,Nutricional,59949.85,51192.8
SO-000200,2025-05-27,Holanda,Chrysal Flora F,4,Fertilizante,30000.0,51924.6
SO-000201,2023-12-01,Holanda,Chrysal Grow X,4,Fertilizante,313385.89,51267.4
SO-000202,2025-04-08,Colombia,Chrysal Grow X,1,Regulador de creci,72384.87,51559.2
SO-000203,2024-03-27,Colombia,Chrysal Grow X,4,Fertilizante,102330.01,50342.3
SO-000204,2024-09-30,Ecuador,Chrysal Protect Y,4,Nutricional,103256.88,50233.2
SO-000205,2024-02-22,Colombia,Chrysal Grow X,4,Regulador de creci,89822.33,52129.9
SO-000206,2023-08-31,Colombia,Chrysal Flora F,4,Fertilizante,72330.81,51070.6
SO-000207,2024-11-27,Holanda,Chrysal Protect Y,2,Regulador de creci,55281.01,50563.7
SO-000208,2025-06-02,Kenya,Chrysal Flora F,1,Regulador de creci,38967.38,50565.0
SO-000209,2023-08-29,Kenya,Chrysal Boost Z,4,Fungicida,55822.47,50545.6
SO-000210,2024-12-11,Kenya,Chrysal Flora F,3,Insecticida,61339.77,50503.7
SO-000211,2023-08-27,Colombia,Chrysal Grow X,3,Fertilizante,46280.85,50101.8
SO-000212,2024-10-15,Colombia,Chrysal Boost Z,2,Regulador de creci,93197.72,49949.7
SO-000213,2024-12-20,Ecuador,Chrysal Root R,2,Regulador de creci,115898.84,50863.5
SO-000214,2024-02-14,Kenya,Chrysal Flora F,1,Insecticida,52758.13,50585.0
SO-000215,2024-11-03,Kenya,Chrysal Boost Z,3,Regulador de creci,88503.24,51775.0
SO-000216,2023-09-06,Kenya,Chrysal Flora F,1,Fertilizante,48976.67,51205.2
SO-000217,2023-03-14,Ecuador,Chrysal Grow X,3,Fertilizante,70852.33,51185.7
SO-000218,2023-03-29,Colombia,Chrysal Flora F,4,Fungicida,59290.11,50479.8
SO-000219,2024-02-12,Holanda,Chrysal Boost Z,2,Regulador de creci,50891.04,50915.3
SO-000220,2025-04-03,Kenya,Chrysal Boost Z,2,Regulador de creci,59636.35,51252.7
SO-000221,2023-04-27,Holanda,Chrysal Flora F,2,Nutricional,225177.75,51501.3
SO-000222,2024-02-20,Ecuador,Chrysal Root R,4,Regulador de creci,72628.38,50934.3
SO-000223,2024-10-04,Holanda,Chrysal Boost Z,3,Regulador de creci,74965.01,51755.4
SO-000224,2023-07-04,Ecuador,Chrysal Boost Z,2,Regulador de creci,42400.84,51005.6
SO-000225,2024-10-20,Ecuador,Chrysal Grow X,1,Regulador de creci,87596.14,51555.0
SO-000226,2023-10-07,Kenya,Chrysal Root R,1,Regulador de creci,106856.55,50657.1
SO-000227,2025-01-07,Ecuador,Chrysal Grow X,2,Regulador de creci,88199.64,49731.2
SO-000228,2024-06-12,Kenya,Chrysal Grow X,4,Fertilizante,147164.95,51187.9
SO-000229,2024-05-13,Ecuador,Chrysal Flora F,3,Nutricional,122893.62,51507.7
SO-000230,2023-06-11,Holanda,Chrysal Boost Z,1,Insecticida,237712.94,51402.7
SO-000231,2024-02-27,Kenya,Chrysal Root R,4,Fertilizante,70459.18,51295.5
SO-000232,2025-02-20,Kenya,Chrysal Boost Z,2,Fertilizante,94090.9,50756.0
SO-000233,2023-01-18,Colombia,Chrysal Boost Z,4,Fungicida,54859.42,50435.3
SO-000234,2024-11-22,Holanda,Chrysal Protect Y,1,Regulador de creci,74536.72,51386.2
SO-000235,2024-03-25,Ecuador,Chrysal Flora F,3,Insecticida,90848.02,51298.5
SO-000236,2024-10-18,Kenya,Chrysal Flora F,4,Nutricional,87693.77,50607.4
SO-000237,2024-08-27,Colombia,Chrysal Boost Z,2,Insecticida,100608.61,51776.6
SO-000238,2024-01-30,Holanda,Chrysal Root R,3,Nutricional,173497.98,50382.0
SO-000239,2023-10-09,Colombia,Chrysal Boost Z,4,Insecticida,85128.66,50591.5
SO-000240,2024-07-26,Colombia,Chrysal Boost Z,1,Regulador de creci,76608.79,52145.5
SO-000241,2023-05-08,Ecuador,Chrysal Boost Z,1,Fertilizante,125261.59,51608.0
SO-000242,2024-06-16,Holanda,Chrysal Protect Y,3,Insecticida,36100.83,50749.4
SO-000243,2023-03-28,Holanda,Chrysal Boost Z,2,Fertilizante,342996.7,51201.2
SO-000244,2024-08-15,Kenya,Chrysal Root R,1,Fertilizante,80155.59,51108.4
SO-000245,2024-07-27,Colombia,Chrysal Root R,2,Fertilizante,85861.43,49078.1
SO-000246,2023-03-19,Holanda,Chrysal Root R,4,Fungicida,96763.83,50365.5
SO-000247,2024-11-21,Kenya,Chrysal Grow X,2,Fertilizante,39302.0,50964.4
SO-000248,2024-01-15,Kenya,Chrysal Grow X,2,Fungicida,33725.46,50750.4
SO-000249,2024-12-18,Ecuador,Chrysal Protect Y,4,Regulador de creci,53378.3,51173.0
SO-000250,2023-02-07,Kenya,Chrysal Root R,2,Fertilizante,51057.85,51790.6
SO-000251,2023-06-13,Holanda,Chrysal Root R,4,Nutricional,249492.08,50774.9
SO-000252,2024-03-26,Ecuador,Chrysal Boost Z,2,Regulador de creci,99041.32,50259.6
SO-000253,2023-06-21,Ecuador,Chrysal Protect Y,4,Insecticida,74932.13,51227.4
SO-000254,2023-10-28,Kenya,Chrysal Root R,3,Fertilizante,85891.84,50771.4
SO-000255,2024-08-25,Ecuador,Chrysal Flora F,1,Nutricional,43270.9,50890.8
SO-000256,2023-05-12,Ecuador,Chrysal Flora F,4,Regulador de creci,66150.73,50795.8
SO-000257,2024-09-10,Ecuador,Chrysal Boost Z,2,Fertilizante,97617.73,52569.3
SO-000258,2023-04-05,Colombia,Chrysal Protect Y,1,Insecticida,97848.57,49431.5
SO-000259,2023-06-09,Kenya,Chrysal Grow X,1,Fungicida,58262.79,50728.2
SO-000260,2024-06-19,Holanda,Chrysal Flora F,3,Nutricional,102167.1,50997.4
SO-000261,2024-12-24,Kenya,Chrysal Boost Z,1,Fertilizante,145965.44,50453.2
SO-000262,2023-06-05,Kenya,Chrysal Flora F,2,Insecticida,79472.06,51629.9
SO-000263,2023-10-01,Ecuador,Chrysal Boost Z,1,Insecticida,59204.39,51569.3
SO-000264,2025-04-23,Ecuador,Chrysal Grow X,2,Fungicida,74787.13,50966.6
SO-000265,2025-06-21,Holanda,Chrysal Grow X,2,Fertilizante,90811.14,50810.5
SO-000266,2024-06-13,Kenya,Chrysal Protect Y,2,Insecticida,75464.95,50921.6
SO-000267,2024-02-12,Kenya,Chrysal Boost Z,2,Regulador de creci,79059.36,50926.6
SO-000268,2023-11-13,Holanda,Chrysal Grow X,1,Fertilizante,282961.8,50945.1
SO-000269,2024-07-12,Colombia,Chrysal Protect Y,3,Fungicida,51121.09,50868.4
SO-000270,2024-06-22,Colombia,Chrysal Flora F,2,Regulador de creci,75519.94,51176.7
SO-000271,2023-09-26,Ecuador,Chrysal Boost Z,3,Regulador de creci,75041.96,51527.2
SO-000272,2023-01-21,Holanda,Chrysal Boost Z,1,Fertilizante,180190.49,50138.8
SO-000273,2023-05-19,Ecuador,Chrysal Grow X,1,Insecticida,74689.59,50264.5
SO-000274,2025-05-24,Holanda,Chrysal Flora F,1,Regulador de creci,30000.0,49776.0
SO-000275,2024-01-17,Ecuador,Chrysal Root R,2,Fungicida,106682.4,51606.5
SO-000276,2024-03-15,Holanda,Chrysal Flora F,2,Nutricional,221454.88,51175.2
SO-000277,2024-03-02,Ecuador,Chrysal Root R,4,Fertilizante,91973.1,51353.7
SO-000278,2024-12-14,Colombia,Chrysal Boost Z,2,Fungicida,63751.99,49999.4
SO-000279,2023-03-01,Kenya,Chrysal Root R,2,Regulador de creci,97162.87,52249.5
SO-000280,2023-03-17,Ecuador,Chrysal Grow X,2,Fertilizante,91271.91,50573.8
SO-000281,2023-09-09,Ecuador,Chrysal Flora F,1,Fungicida,105974.51,51117.7
SO-000282,2024-03-19,Ecuador,Chrysal Boost Z,2,Insecticida,101403.81,51598.1
SO-000283,2024-09-04,Colombia,Chrysal Boost Z,2,Regulador de creci,97662.07,50309.1
SO-000284,2024-03-23,Holanda,Chrysal Flora F,2,Insecticida,178154.07,50617.6
SO-000285,2024-02-07,Colombia,Chrysal Flora F,1,Insecticida,87348.18,51125.4
SO-000286,2025-05-05,Colombia,Chrysal Flora F,4,Regulador de creci,111905.27,53000.2
SO-000287,2023-05-27,Kenya,Chrysal Grow X,4,Fungicida,60437.76,51210.8
SO-000288,2024-06-05,Kenya,Chrysal Boost Z,1,Regulador de creci,61147.77,52124.5
SO-000289,2024-05-09,Ecuador,Chrysal Flora F,3,Nutricional,85442.94,51844.0
SO-000290,2024-03-07,Ecuador,Chrysal Root R,4,Regulador de creci,92458.39,51257.6
SO-000291,2025-01-06,Kenya,Chrysal Grow X,2,Fungicida,55276.81,50307.6
SO-000292,2023-09-01,Ecuador,Chrysal Flora F,4,Fertilizante,77757.12,51741.8
SO-000293,2025-05-19,Colombia,Chrysal Boost Z,3,Fungicida,77180.04,49951.3
SO-000294,2023-10-30,Colombia,Chrysal Boost Z,4,Nutricional,30000.0,52120.6
