Sales_order_number,Product_reference,Waste_kg,Disposal_waste_cost
SO-000099,Chrysal Protect Y,397.94,198.97
SO-000100,Chrysal Boost Z,412.93,206.465
SO-000101,Chrysal Boost Z,1823.08,911.54
SO-000102,Chrysal Root R,755.68,377.84
SO-000103,Chrysal Root R,1199.53,599.765
SO-000104,Chrysal Grow X,1224.66,612.33
SO-000105,Chrysal Flora F,1385.36,692.68
SO-000106,Chrysal Grow X,771.94,385.97
SO-000107,Chrysal Root R,1021.38,510.69
SO-000108,Chrysal Protect Y,1413.65,706.825
SO-000109,Chrysal Root R,1278.47,639.235
SO-000110,Chrysal Flora F,1137.52,568.76
SO-000111,Chrysal Root R,188.05,94.025
SO-000112,Chrysal Flora F,176.8,88.4
SO-000113,Chrysal Flora F,,403.345
SO-000114,Chrysal Flora F,505.55,252.775
SO-000115,Chrysal Flora F,935.73,467.865
SO-000116,Chrysal Flora F,1069.34,534.67
SO-000117,Chrysal Protect Y,204.06,102.03
SO-000118,Chrysal Grow X,1486.78,743.39
SO-000119,Chrysal Boost Z,580.17,290.085
SO-000120,Chrysal Grow X,674.03,337.015
SO-000121,Chrysal Flora F,329.21,164.605
SO-000122,Chrysal Protect Y,1834.4,917.2
SO-000123,Chrysal Root R,1083.39,541.695
SO-000124,Chrysal Protect Y,829.88,414.94
SO-000125,Chrysal Flora F,1508.97,754.485
SO-000126,Chrysal Protect Y,905.52,452.76
SO-000127,Chrysal Protect Y,83.0,41.5
SO-000128,Chrysal Flora F,,403.345
SO-000129,Chrysal Protect Y,226.13,113.065
SO-000130,Chrysal Boost Z,1147.45,573.725
SO-000131,Chrysal Boost Z,1564.97,782.485
SO-000132,Chrysal Protect Y,981.7,490.85
SO-000133,Chrysal Root R,144.42,72.21
SO-000134,Chrysal Flora F,1368.95,684.475
SO-000135,Chrysal Boost Z,1719.44,859.72
SO-000136,Chrysal Root R,1508.76,754.38
SO-000137,Chrysal Protect Y,2336.95,1168.475
SO-000138,Chrysal Root R,454.79,227.395
SO-000139,Chrysal Grow X,911.97,455.985
SO-000140,Chrysal Boost Z,98.12,49.06
SO-000141,Chrysal Protect Y,1326.83,663.415
SO-000142,Chrysal Flora F,1529.44,764.72
SO-000143,Chrysal Protect Y,663.16,331.58
SO-000144,Chrysal Flora F,169.84,84.92
SO-000145,Chrysal Protect Y,260.94,130.47
SO-000146,Chrysal Root R,1239.92,619.96
SO-000147,Chrysal Root R,73.69,36.845
SO-000148,Chrysal Root R,715.2,357.6
SO-000149,Chrysal Grow X,1280.66,640.33
SO-000150,Chrysal Flora F,2174.28,1087.14
SO-000151,Chrysal Root R,1972.15,986.075
SO-000152,Chrysal Grow X,,403.345
SO-000153,Chrysal Flora F,409.3,204.65
SO-000154,Chrysal Protect Y,510.76,255.38
SO-000155,Chrysal Grow X,,403.345
SO-000156,Chrysal Boost Z,2084.7,1042.35
SO-000157,Chrysal Grow X,728.44,364.22
SO-000158,Chrysal Grow X,562.37,281.185
SO-000159,Chrysal Flora F,,403.345
SO-000160,Chrysal Protect Y,587.04,293.52
SO-000161,Chrysal Boost Z,254.15,127.075
SO-000162,Chrysal Root R,478.56,239.28
SO-000163,Chrysal Root R,536.66,268.33
SO-000164,Chrysal Grow X,,403.345
SO-000165,Chrysal Flora F,793.24,396.62
SO-000166,Chrysal Flora F,720.92,360.46
SO-000167,Chrysal Root R,869.91,434.955
SO-000168,Chrysal Boost Z,354.07,177.035
SO-000169,Chrysal Protect Y,333.94,166.97
SO-000170,Chrysal Boost Z,152.8,76.4
SO-000171,Chrysal Protect Y,271.08,135.54
SO-000172,Chrysal Root R,704.99,352.495
SO-000173,Chrysal Protect Y,1250.32,625.16
SO-000174,Chrysal Flora F,1885.83,942.915
SO-000175,Chrysal Grow X,732.26,366.13
SO-000176,Chrysal Grow X,406.21,203.105
SO-000177,Chrysal Root R,310.5,155.25
SO-000178,Chrysal Flora F,907.0,453.5
SO-000179,Chrysal Boost Z,975.98,487.99
SO-000180,Chrysal Flora F,2463.82,1231.91
SO-000181,Chrysal Grow X,827.73,413.865
SO-000182,Chrysal Grow X,592.73,296.365
SO-000183,Chrysal Flora F,1437.77,718.885
SO-000184,Chrysal Flora F,402.61,201.305
SO-000185,Chrysal Grow X,1793.73,896.865
SO-000186,Chrysal Boost Z,883.17,441.585
SO-000187,Chrysal Root R,1403.8,701.9
SO-000188,Chrysal Root R,916.75,458.375
SO-000189,Chrysal Flora F,457.96,228.98
SO-000190,Chrysal Root R,1024.69,512.345
SO-000191,Chrysal Grow X,1302.3,651.15
SO-000192,Chrysal Grow X,1869.45,934.725
SO-000193,Chrysal Flora F,365.1,182.55
SO-000194,Chrysal Flora F,630.27,315.135
SO-000195,Chrysal Flora F,561.37,280.685
SO-000196,Chrysal Boost Z,1347.58,673.79
SO-000197,Chrysal Root R,761.2,380.6
SO-000198,Chrysal Flora F,244.75,122.375
SO-000199,Chrysal Protect Y,1914.59,957.295
SO-000200,Chrysal Protect Y,561.52,280.76
SO-000201,Chrysal Grow X,1689.21,844.605
SO-000202,Chrysal Root R,935.91,467.955
SO-000203,Chrysal Flora F,1568.8,784.4
SO-000204,Chrysal Protect Y,859.4,429.7
SO-000205,Chrysal Root R,1608.34,804.17
SO-000206,Chrysal Grow X,1277.45,638.725
SO-000207,Chrysal Boost Z,760.14,380.07
SO-000208,Chrysal Root R,568.19,284.095
SO-000209,Chrysal Root R,950.79,475.395
SO-000210,Chrysal Boost Z,1356.77,678.385
SO-000211,Chrysal Root R,1285.67,642.835
SO-000212,Chrysal Grow X,486.79,243.395
SO-000213,Chrysal Grow X,669.33,334.665
SO-000214,Chrysal Boost Z,624.91,312.455
SO-000215,Chrysal Flora F,2078.09,1039.045
SO-000216,Chrysal Protect Y,674.54,337.27
SO-000217,Chrysal Flora F,1498.01,749.005
SO-000218,Chrysal Root R,1155.21,577.605
SO-000219,Chrysal Protect Y,1097.86,548.93
SO-000220,Chrysal Boost Z,710.02,355.01
SO-000221,Chrysal Boost Z,1659.88,829.94
SO-000222,Chrysal Protect Y,1252.34,626.17
SO-000223,Chrysal Grow X,611.13,305.565
SO-000224,Chrysal Protect Y,1907.41,953.705
SO-000225,Chrysal Root R,1138.16,569.08
SO-000226,Chrysal Grow X,1581.0,790.5
SO-000227,Chrysal Boost Z,454.74,227.37
SO-000228,Chrysal Protect Y,1997.5,998.75
SO-000229,Chrysal Flora F,550.75,275.375
SO-000230,Chrysal Flora F,182.59,91.295
SO-000231,Chrysal Root R,1175.43,587.715
SO-000232,Chrysal Flora F,1031.48,515.74
SO-000233,Chrysal Protect Y,354.58,177.29
SO-000234,Chrysal Protect Y,293.38,146.69
SO-000235,Chrysal Flora F,2450.54,1225.27
SO-000236,Chrysal Protect Y,1104.28,552.14
SO-000237,Chrysal Root R,973.32,486.66
SO-000238,Chrysal Grow X,245.59,122.795
SO-000239,Chrysal Root R,232.68,116.34
SO-000240,Chrysal Root R,120.76,60.38
SO-000241,Chrysal Protect Y,307.31,153.655
SO-000242,Chrysal Grow X,1974.53,987.265
SO-000243,Chrysal Protect Y,85.51,42.755
SO-000244,Chrysal Boost Z,1062.97,531.485
SO-000245,Chrysal Protect Y,599.59,299.795
SO-000246,Chrysal Protect Y,896.47,448.235
SO-000247,Chrysal Protect Y,,403.345
SO-000248,Chrysal Grow X,2025.9,1012.95
SO-000249,Chrysal Protect Y,334.76,167.38
SO-000250,Chrysal Grow X,846.79,423.395
SO-000251,Chrysal Flora F,2253.53,1126.765
SO-000252,Chrysal Boost Z,74.95,37.475
SO-000253,Chrysal Grow X,251.47,125.735
SO-000254,Chrysal Flora F,279.69,139.845
SO-000255,Chrysal Grow X,1191.98,595.99
SO-000256,Chrysal Grow X,252.96,126.48
SO-000257,Chrysal Boost Z,1219.21,609.605
SO-000258,Chrysal Root R,1554.59,777.295
SO-000259,Chrysal Root R,1449.74,724.87
SO-000260,Chrysal Grow X,847.39,423.695
SO-000261,Chrysal Protect Y,502.56,251.28
SO-000262,Chrysal Flora F,84.81,42.405
SO-000263,Chrysal Protect Y,1596.57,798.285
SO-000264,Chrysal Protect Y,691.94,345.97
SO-000265,Chrysal Grow X,754.86,377.43
SO-000266,Chrysal Grow X,37.54,18.77
SO-000267,Chrysal Grow X,448.05,224.025
SO-000268,Chrysal Grow X,1712.73,856.365
SO-000269,Chrysal Root R,2408.76,1204.38
SO-000270,Chrysal Grow X,512.2,256.1
SO-000271,Chrysal Root R,864.48,432.24
SO-000272,Chrysal Root R,87.71,43.855
SO-000273,Chrysal Grow X,1425.9,712.95
SO-000274,Chrysal Boost Z,668.86,334.43
SO-000275,Chrysal Flora F,1055.02,527.51
SO-000276,Chrysal Protect Y,163.41,81.705
SO-000277,Chrysal Root R,139.34,69.67
SO-000278,Chrysal Flora F,1147.06,573.53
SO-000279,Chrysal Boost Z,532.24,266.12
SO-000280,Chrysal Protect Y,34.82,17.41
SO-000281,Chrysal Protect Y,1510.76,755.38
SO-000282,Chrysal Root R,814.62,407.31
SO-000283,Chrysal Grow X,288.08,144.04
SO-000284,Chrysal Boost Z,1139.39,569.695
SO-000285,Chrysal Root R,1840.84,920.42
SO-000286,Chrysal Boost Z,428.0,214.0
SO-000287,Chrysal Grow X,419.6,209.8
SO-000288,Chrysal Grow X,403.64,201.82
SO-000289,Chrysal Root R,1000.95,500.475
SO-000290,Chrysal Grow X,1446.21,723.105
SO-000291,Chrysal Flora F,147.39,73.695
SO-000292,Chrysal Protect Y,826.37,413.185
SO-000293,Chrysal Root R,200.52,100.26
SO-000294,Chrysal Boost Z,407.88,203.94
SO-000295,Chrysal Flora F,813.52,406.76
SO-000296,Chrysal Root R,758.88,379.44
SO-000297,Chrysal Grow X,1396.91,698.455
SO-000298,Chrysal Grow X,,403.345
SO-000299,Chrysal Grow X,375.87,187.935
SO-000300,Chrysal Grow X,415.77,207.885
SO-000301,Chrysal Boost Z,875.1,437.55
SO-000302,Chrysal Flora F,1217.29,608.645
SO-000303,Chrysal Protect Y,24.26,12.13
SO-000304,Chrysal Boost Z,2275.59,1137.795
SO-000305,Chrysal Boost Z,134.99,67.495
SO-000306,Chrysal Protect Y,974.32,487.16
SO-000307,Chrysal Protect Y,297.11,148.555
SO-000308,Chrysal Grow X,1934.96,967.48
SO-000309,Chrysal Boost Z,153.24,76.62
SO-000310,Chrysal Root R,200.75,100.375
SO-000311,Chrysal Protect Y,355.57,177.785
SO-000312,Chrysal Protect Y,2030.37,1015.185
SO-000313,Chrysal Flora F,1153.31,576.655
SO-000314,Chrysal Root R,1009.04,504.52
SO-000315,Chrysal Root R,369.74,184.87
SO-000316,Chrysal Protect Y,1069.36,534.68
SO-000317,Chrysal Grow X,1682.93,841.465
SO-000318,Chrysal Flora F,465.64,232.82
SO-000319,Chrysal Root R,1099.03,549.515
SO-000320,Chrysal Protect Y,738.08,369.04
SO-000321,Chrysal Root R,1506.85,753.425
SO-000322,Chrysal Flora F,551.42,275.71
SO-000323,Chrysal Flora F,655.82,327.91
SO-000324,Chrysal Boost Z,617.1,308.55
SO-000325,Chrysal Protect Y,55.29,27.645
SO-000326,Chrysal Flora F,605.66,302.83
SO-000327,Chrysal Boost Z,491.91,245.955
SO-000328,Chrysal Boost Z,1338.05,669.025
SO-000329,Chrysal Root R,1090.0,545.0
SO-000330,Chrysal Root R,610.45,305.225
SO-000331,Chrysal Boost Z,161.6,80.8
SO-000332,Chrysal Root R,516.41,258.205
SO-000333,Chrysal Flora F,730.4,365.2
SO-000334,Chrysal Grow X,282.5,141.25
SO-000335,Chrysal Flora F,1602.43,801.215
SO-000336,Chrysal Boost Z,106.86,53.43
SO-000337,Chrysal Boost Z,666.5,333.25
SO-000338,Chrysal Flora F,1025.52,512.76
SO-000339,Chrysal Root R,,403.345
SO-000340,Chrysal Root R,1238.09,619.045
SO-000341,Chrysal Boost Z,1590.85,795.425
SO-000342,Chrysal Protect Y,1210.91,605.455
SO-000343,Chrysal Root R,609.1,304.55
SO-000344,Chrysal Flora F,755.92,377.96
SO-000345,Chrysal Root R,544.67,272.335
SO-000346,Chrysal Flora F,1072.33,536.165
SO-000347,Chrysal Boost Z,164.65,82.325
SO-000348,Chrysal Root R,769.39,384.695
SO-000349,Chrysal Flora F,268.68,134.34
SO-000350,Chrysal Boost Z,1525.43,762.715
SO-000351,Chrysal Protect Y,529.33,264.665
SO-000352,Chrysal Flora F,1392.28,696.14
SO-000353,Chrysal Protect Y,755.09,377.545
SO-000354,Chrysal Protect Y,541.95,270.975
SO-000355,Chrysal Grow X,1746.46,873.23
SO-000356,Chrysal Root R,2131.94,1065.97
SO-000357,Chrysal Flora F,2251.14,1125.57
SO-000358,Chrysal Protect Y,381.17,190.585
SO-000359,Chrysal Grow X,540.97,270.485
SO-000360,Chrysal Boost Z,2218.24,1109.12
SO-000361,Chrysal Flora F,1246.38,623.19
SO-000362,Chrysal Protect Y,78.69,39.345
SO-000363,Chrysal Root R,1080.01,540.005
SO-000364,Chrysal Grow X,1585.66,792.83
SO-000365,Chrysal Protect Y,2294.37,1147.185
SO-000366,Chrysal Root R,1747.14,873.57
SO-000367,Chrysal Protect Y,2338.58,1169.29
SO-000368,Chrysal Flora F,345.33,172.665
SO-000369,Chrysal Flora F,172.17,86.085
SO-000370,Chrysal Flora F,629.37,314.685
SO-000371,Chrysal Grow X,1219.02,609.51
SO-000372,Chrysal Flora F,233.45,116.725
SO-000373,Chrysal Root R,1118.36,559.18
SO-000374,Chrysal Protect Y,1512.97,756.485
SO-000375,Chrysal Boost Z,1607.95,803.975
SO-000376,Chrysal Root R,606.56,303.28
SO-000377,Chrysal Root R,82.62,41.31
SO-000378,Chrysal Flora F,1622.27,811.135
SO-000379,Chrysal Grow X,1478.63,739.315
SO-000380,Chrysal Protect Y,522.09,261.045
SO-000381,Chrysal Grow X,179.56,89.78
SO-000382,Chrysal Protect Y,1890.24,945.12
SO-000383,Chrysal Protect Y,1297.17,648.585
SO-000384,Chrysal Grow X,367.47,183.735
SO-000385,Chrysal Root R,1451.37,725.685
SO-000386,Chrysal Protect Y,756.98,378.49
SO-000387,Chrysal Grow X,1287.79,643.895
SO-000388,Chrysal Protect Y,57.87,28.935
SO-000389,Chrysal Boost Z,274.98,137.49
SO-000390,Chrysal Root R,304.83,152.415
SO-000391,Chrysal Flora F,1404.56,702.28
SO-000392,Chrysal Protect Y,1037.57,518.785
SO-000393,Chrysal Boost Z,1131.93,565.965
SO-000394,Chrysal Flora F,476.83,238.415
SO-000395,Chrysal Flora F,102.62,51.31
SO-000396,Chrysal Protect Y,577.38,288.69
SO-000397,Chrysal Grow X,929.89,464.945
SO-000398,Chrysal Protect Y,144.58,72.29
SO-000399,Chrysal Boost Z,2577.55,1288.775
SO-000400,Chrysal Flora F,150.78,75.39
SO-000401,Chrysal Protect Y,1310.41,655.205
SO-000402,Chrysal Grow X,438.58,219.29
SO-000403,Chrysal Protect Y,705.52,352.76
SO-000404,Chrysal Root R,1185.96,592.98
SO-000405,Chrysal Grow X,31.69,15.845
SO-000406,Chrysal Boost Z,186.07,93.035
SO-000407,Chrysal Flora F,438.26,219.13
SO-000408,Chrysal Protect Y,842.54,421.27
SO-000409,Chrysal Grow X,411.8,205.9
SO-000410,Chrysal Root R,208.21,104.105
SO-000411,Chrysal Grow X,,403.345
SO-000412,Chrysal Root R,950.51,475.255
SO-000413,Chrysal Boost Z,1141.15,570.575
SO-000414,Chrysal Flora F,,403.345
SO-000415,Chrysal Boost Z,486.45,243.225
SO-000416,Chrysal Protect Y,583.1,291.55
SO-000417,Chrysal Grow X,505.13,252.565
SO-000418,Chrysal Root R,759.14,379.57
SO-000419,Chrysal Root R,1019.49,509.745
SO-000420,Chrysal Grow X,436.0,218.0
SO-000421,Chrysal Grow X,1790.76,895.38
SO-000422,Chrysal Protect Y,1085.0,542.5
SO-000423,Chrysal Boost Z,334.09,167.045
SO-000424,Chrysal Root R,148.85,74.425
SO-000425,Chrysal Protect Y,701.2,350.6
SO-000426,Chrysal Boost Z,242.79,121.395
SO-000427,Chrysal Protect Y,1801.12,900.56
SO-000428,Chrysal Root R,,403.345
SO-000429,Chrysal Grow X,282.9,141.45
SO-000430,Chrysal Grow X,877.59,438.795
SO-000431,Chrysal Boost Z,523.35,261.675
SO-000432,Chrysal Flora F,356.29,178.145
SO-000433,Chrysal Boost Z,315.16,157.58
SO-000434,Chrysal Flora F,1258.34,629.17
SO-000435,Chrysal Protect Y,767.36,383.68
SO-000436,Chrysal Protect Y,2012.39,1006.195
SO-000437,Chrysal Root R,91.35,45.675
SO-000438,Chrysal Flora F,1559.54,779.77
SO-000439,Chrysal Root R,1266.98,633.49
SO-000440,Chrysal Grow X,1721.5,860.75
SO-000441,Chrysal Flora F,417.44,208.72
SO-000442,Chrysal Boost Z,667.64,333.82
SO-000443,Chrysal Grow X,519.44,259.72
SO-000444,Chrysal Grow X,433.05,216.525
SO-000445,Chrysal Boost Z,1911.68,955.84
SO-000446,Chrysal Grow X,1031.8,515.9
SO-000447,Chrysal Flora F,1280.46,640.23
SO-000448,Chrysal Root R,187.83,93.915
SO-000449,Chrysal Grow X,328.88,164.44
SO-000450,Chrysal Flora F,902.91,451.455
SO-000451,Chrysal Protect Y,96.11,48.055
SO-000452,Chrysal Flora F,1101.32,550.66
SO-000453,Chrysal Root R,110.11,55.055
SO-000454,Chrysal Flora F,155.16,77.58
SO-000455,Chrysal Boost Z,511.81,255.905
SO-000456,Chrysal Root R,1144.07,572.035
SO-000457,Chrysal Protect Y,581.05,290.525
SO-000458,Chrysal Boost Z,87.37,43.685
SO-000459,Chrysal Flora F,1142.21,571.105
SO-000460,Chrysal Root R,119.86,59.93
SO-000461,Chrysal Protect Y,709.87,354.935
SO-000462,Chrysal Boost Z,983.6,491.8
SO-000463,Chrysal Protect Y,1024.43,512.215
SO-000464,Chrysal Flora F,,403.345
SO-000465,Chrysal Protect Y,617.09,308.545
SO-000466,Chrysal Grow X,981.94,490.97
SO-000467,Chrysal Boost Z,1671.39,835.695
SO-000468,Chrysal Protect Y,1746.31,873.155
SO-000469,Chrysal Flora F,,403.345
SO-000470,Chrysal Flora F,1674.4,837.2
SO-000471,Chrysal Protect Y,,403.345
SO-000472,Chrysal Flora F,638.13,319.065
SO-000473,Chrysal Root R,,403.345
SO-000474,Chrysal Root R,1525.06,762.53
SO-000475,Chrysal Root R,1091.68,545.84
SO-000476,Chrysal Grow X,2093.22,1046.61
SO-000477,Chrysal Protect Y,1729.3,864.65
SO-000478,Chrysal Grow X,1137.87,568.935
SO-000479,Chrysal Flora F,942.38,471.19
SO-000480,Chrysal Grow X,1328.17,664.085
SO-000481,Chrysal Flora F,1290.57,645.285
SO-000482,Chrysal Flora F,201.99,100.995
SO-000483,Chrysal Boost Z,143.06,71.53
SO-000484,Chrysal Root R,780.21,390.105
SO-000485,Chrysal Flora F,1744.85,872.425
SO-000486,Chrysal Boost Z,169.15,84.575
SO-000487,Chrysal Root R,553.8,276.9
SO-000488,Chrysal Flora F,241.16,120.58
SO-000489,Chrysal Flora F,1587.26,793.63
SO-000490,Chrysal Grow X,1351.53,675.765
SO-000491,Chrysal Grow X,912.34,456.17
SO-000492,Chrysal Root R,404.66,202.33
SO-000493,Chrysal Flora F,1033.06,516.53
SO-000494,Chrysal Protect Y,1547.39,773.695
SO-000495,Chrysal Grow X,1639.89,819.945
SO-000496,Chrysal Root R,1616.13,808.065
SO-000497,Chrysal Flora F,855.28,427.64
SO-000498,Chrysal Flora F,2097.98,1048.99
SO-000499,Chrysal Protect Y,361.94,180.97
SO-000500,Chrysal Root R,1520.32,760.16
SO-000501,Chrysal Flora F,245.9,122.95
SO-000502,Chrysal Grow X,324.12,162.06
SO-000503,Chrysal Protect Y,923.62,461.81
SO-000504,Chrysal Root R,813.61,406.805
SO-000505,Chrysal Protect Y,257.41,128.705
SO-000506,Chrysal Grow X,1976.3,988.15
SO-000507,Chrysal Root R,123.9,61.95
SO-000508,Chrysal Protect Y,1835.78,917.89
SO-000509,Chrysal Boost Z,836.96,418.48
SO-000510,Chrysal Grow X,,403.345
SO-000511,Chrysal Grow X,1445.24,722.62
SO-000512,Chrysal Grow X,1174.9,587.45
SO-000513,Chrysal Boost Z,2084.29,1042.145
SO-000514,Chrysal Boost Z,1066.34,533.17
SO-000515,Chrysal Flora F,1298.18,649.09
SO-000516,Chrysal Protect Y,412.66,206.33
SO-000517,Chrysal Flora F,1487.9,743.95
SO-000518,Chrysal Protect Y,229.6,114.8
SO-000519,Chrysal Boost Z,547.75,273.875
SO-000520,Chrysal Boost Z,762.5,381.25
SO-000521,Chrysal Flora F,1134.88,567.44
SO-000522,Chrysal Root R,117.07,58.535
SO-000523,Chrysal Flora F,1081.85,540.925
SO-000524,Chrysal Protect Y,2180.37,1090.185
SO-000525,Chrysal Flora F,797.04,398.52
SO-000526,Chrysal Grow X,175.1,87.55
SO-000527,Chrysal Protect Y,565.46,282.73
SO-000528,Chrysal Protect Y,2436.83,1218.415
SO-000529,Chrysal Root R,157.49,78.745
SO-000530,Chrysal Boost Z,959.96,479.98
SO-000531,Chrysal Protect Y,140.61,70.305
SO-000532,Chrysal Boost Z,1039.79,519.895
SO-000533,Chrysal Flora F,1226.66,613.33
SO-000534,Chrysal Grow X,874.73,437.365
SO-000535,Chrysal Root R,1940.12,970.06
SO-000536,Chrysal Boost Z,896.37,448.185
SO-000537,Chrysal Protect Y,,403.345
SO-000538,Chrysal Boost Z,698.45,349.225
SO-000539,Chrysal Protect Y,1296.53,648.265
SO-000540,Chrysal Boost Z,83.55,41.775
SO-000541,Chrysal Protect Y,691.36,345.68
SO-000542,Chrysal Flora F,1405.52,702.76
SO-000543,Chrysal Protect Y,1366.29,683.145
SO-000544,Chrysal Protect Y,456.87,228.435
SO-000545,Chrysal Grow X,1421.74,710.87
SO-000546,Chrysal Protect Y,673.57,336.785
SO-000547,Chrysal Grow X,517.45,258.725
SO-000548,Chrysal Root R,686.64,343.32
SO-000549,Chrysal Grow X,1710.35,855.175
SO-000550,Chrysal Flora F,171.38,85.69
SO-000551,Chrysal Grow X,1753.5,876.75
SO-000552,Chrysal Root R,1195.96,597.98
SO-000553,Chrysal Flora F,2535.06,1267.53
SO-000554,Chrysal Boost Z,240.14,120.07
SO-000555,Chrysal Boost Z,459.57,229.785
SO-000556,Chrysal Grow X,723.46,361.73
SO-000557,Chrysal Grow X,323.49,161.745
SO-000558,Chrysal Root R,429.2,214.6
SO-000559,Chrysal Root R,451.28,225.64
SO-000560,Chrysal Protect Y,,403.345
SO-000561,Chrysal Root R,2110.83,1055.415
SO-000562,Chrysal Protect Y,1055.89,527.945
SO-000563,Chrysal Flora F,451.37,225.685
SO-000564,Chrysal Grow X,556.12,278.06
SO-000565,Chrysal Flora F,1074.05,537.025
SO-000566,Chrysal Root R,532.2,266.1
SO-000567,Chrysal Flora F,2268.97,1134.485
SO-000568,Chrysal Flora F,2170.68,1085.34
