Year,Month,Country,Product_Reference,Category,Marketing_Campaign_Type,Sales_Units,Marketing_Investment_USD,Sales_Revenue_USD,Production_Cost_USD,Gross_Margin_USD,Marketing_ROI,Waste_Generated_kg
2024,Febrero,Colombia,Chrysal Protect Y,Fertilizante,Influencers Agrícolas,6739,6751.0,28102.58,18233.42,9869.17,4.16,477.36
2023,Mayo,Ecuador,Chrysal Protect Y,Fungicida,Social Media,11985,,69291.09,31334.52,37956.57,,387.84
2023,Marzo,Kenya,Chrysal Protect Y,Nutricional,Field Campaign,27845,,153343.61,91398.11,61945.5,,2147.57
2024,Mayo,Colombia,Chrysal Flora F,Nutricional,E-mail Marketing,19967,6751.0,107337.27,60576.63,46760.64,15.9,808.9
2023,Abril,Ecuador,Chrysal Grow X,Regulador de crecimiento,E-mail Marketing,22425,6751.0,108835.8,58424.2,50411.61,16.12,1774.9
2024,Enero,Ecuador,Chrysal Boost Z,Nutricional,Social Media,27876,6751.0,132657.85,63080.67,69577.18,19.65,1960.14
2025,Mayo,Holanda,Chrysal Root R,Insecticida,E-mail Marketing,19829,,77772.76,41360.88,36411.88,,1358.57
2024,Mayo,Ecuador,Chrysal Boost Z,Fertilizante,Influencers Agrícolas,23773,6751.0,104324.33,54339.98,49984.35,15.45,928.91
2025,Enero,Colombia,Chrysal Boost Z,Regulador de crecimiento,Field Campaign,32233,,,63211.25,60594.98,,
2025,Abril,Colombia,Chrysal Grow X,Insecticida,E-mail Marketing,2732,,14670.37,8746.12,5924.25,,117.28
2022,Febrero,Holanda,Chrysal Grow X,Fungicida,E-mail Marketing,2557,,10447.4,6165.48,4281.92,,97.44
2024,Mayo,Colombia,Chrysal Grow X,Fertilizante,Social Media,31522,,194085.76,110202.67,83883.08,,701.17
2022,Enero,Kenya,Chrysal Protect Y,Nutricional,Influencers Agrícolas,1916,6751.0,9987.12,6369.12,3618.01,1.48,96.42
2024,Marzo,Colombia,Chrysal Flora F,Fertilizante,E-mail Marketing,12491,6751.0,,36950.86,34112.47,10.53,
2024,Enero,Colombia,Chrysal Protect Y,Fungicida,Social Media,1292,,6342.83,3163.55,3179.28,,75.03
2022,Marzo,Ecuador,Chrysal Flora F,Regulador de crecimiento,E-mail Marketing,28682,6751.0,152403.69,88574.07,63829.61,22.57,1642.65
2022,Abril,Ecuador,Chrysal Flora F,Regulador de crecimiento,Social Media,9611,,60983.52,29867.46,31116.06,,261.85
2024,Febrero,Colombia,Chrysal Boost Z,Regulador de crecimiento,Social Media,28608,,115100.91,59047.01,56053.9,,2249.1
2023,Enero,Holanda,Chrysal Boost Z,Nutricional,Influencers Agrícolas,25072,,112463.77,55660.62,56803.14,,782.64
2025,Mayo,Ecuador,Chrysal Flora F,Insecticida,E-mail Marketing,29199,6751.0,172448.37,79986.85,92461.52,25.54,1364.07
2022,Abril,Holanda,Chrysal Flora F,Insecticida,Influencers Agrícolas,7274,,29580.38,18206.72,11373.66,,358.51
2025,Enero,Colombia,Chrysal Protect Y,Fertilizante,Social Media,27756,,111142.93,55672.4,55470.54,,1909.16
2023,Mayo,Colombia,Chrysal Protect Y,Nutricional,Field Campaign,14779,6751.0,70586.89,38442.01,32144.88,10.46,383.57
2023,Enero,Kenya,Chrysal Boost Z,Regulador de crecimiento,E-mail Marketing,29128,6751.0,117935.0,54092.43,63842.58,17.47,1331.69
2023,Marzo,Ecuador,Chrysal Grow X,Regulador de crecimiento,Field Campaign,13667,6751.0,73524.52,43369.75,30154.77,10.89,788.72
2022,Enero,Colombia,Chrysal Flora F,Fungicida,E-mail Marketing,26651,6751.0,117556.05,60672.11,56883.94,17.41,877.07
2023,Enero,Kenya,Chrysal Protect Y,Fungicida,Influencers Agrícolas,32079,,199479.56,119477.75,80001.81,,1849.29
2022,Enero,Ecuador,Chrysal Boost Z,Regulador de crecimiento,Influencers Agrícolas,31327,6751.0,185313.31,98675.74,86637.56,27.45,2362.68
2023,Abril,Colombia,Chrysal Protect Y,Regulador de crecimiento,Influencers Agrícolas,8666,,49302.64,24116.44,25186.2,,691.99
2025,Enero,Colombia,Chrysal Flora F,Nutricional,Influencers Agrícolas,16249,6751.0,88812.95,49081.15,39731.81,13.16,356.62
2025,Mayo,Ecuador,Chrysal Flora F,Insecticida,Influencers Agrícolas,11485,6751.0,70418.64,33526.38,36892.26,10.43,392.04
2024,Marzo,Ecuador,Chrysal Root R,Fungicida,Field Campaign,24344,6751.0,107168.8,57668.37,49500.43,15.87,940.13
2025,Marzo,Ecuador,Chrysal Grow X,Insecticida,Influencers Agrícolas,6251,6751.0,38489.87,19763.05,18726.82,5.7,274.72
2024,Enero,Colombia,Chrysal Root R,Nutricional,Social Media,22442,6751.0,133117.62,84182.51,48935.11,19.72,775.04
2025,Abril,Colombia,Chrysal Boost Z,Regulador de crecimiento,Social Media,31830,6751.0,185251.69,85620.69,99631.0,27.44,1025.22
2022,Abril,Kenya,Chrysal Protect Y,Insecticida,Field Campaign,31673,,168354.36,99127.63,69226.73,,2447.48
2025,Mayo,Holanda,Chrysal Boost Z,Regulador de crecimiento,E-mail Marketing,1419,6751.0,6335.64,3082.6,3253.03,0.94,106.58
2024,Enero,Ecuador,Chrysal Flora F,Regulador de crecimiento,Social Media,34450,6751.0,170306.31,87504.92,82801.39,25.23,786.13
2024,Marzo,Colombia,Chrysal Root R,Fertilizante,E-mail Marketing,26172,6751.0,155530.79,82913.9,72616.89,23.04,1055.48
2023,Abril,Colombia,Chrysal Root R,Insecticida,Field Campaign,4442,6751.0,17260.73,10901.93,6358.8,2.56,196.82
2022,Enero,Ecuador,Chrysal Root R,Insecticida,E-mail Marketing,28801,,170258.18,84876.37,85381.81,,989.05
2025,Abril,Holanda,Chrysal Boost Z,Regulador de crecimiento,E-mail Marketing,34864,6751.0,155081.73,72618.84,82462.89,22.97,2012.78
2023,Abril,Ecuador,Chrysal Flora F,Nutricional,E-mail Marketing,30090,6751.0,126066.11,64764.94,61301.17,18.67,1757.94
2025,Marzo,Holanda,Chrysal Protect Y,Fertilizante,E-mail Marketing,14922,6751.0,61365.14,28899.0,32466.13,9.09,1059.91
2025,Febrero,Colombia,Chrysal Protect Y,Regulador de crecimiento,Field Campaign,25620,6751.0,99240.99,47210.86,52030.14,14.7,1651.26
2023,Mayo,Holanda,Chrysal Boost Z,Fungicida,Social Media,3695,,19264.56,10880.05,8384.51,,194.19
2023,Mayo,Kenya,Chrysal Root R,Fungicida,Influencers Agrícolas,6166,6751.0,27064.43,12508.65,14555.78,4.01,365.12
2023,Marzo,Colombia,Chrysal Grow X,Fertilizante,E-mail Marketing,9511,,61550.11,28078.31,33471.8,,346.57
2023,Abril,Kenya,Chrysal Boost Z,Nutricional,Social Media,20396,6751.0,109138.57,64706.38,44432.19,16.17,1133.68
2023,Enero,Ecuador,Chrysal Boost Z,Regulador de crecimiento,Social Media,19593,,81747.68,42699.22,39048.46,,966.99
2025,Abril,Ecuador,Chrysal Flora F,Insecticida,Field Campaign,8999,,50931.27,24196.18,26735.09,,251.98
2023,Marzo,Ecuador,Chrysal Protect Y,Fertilizante,Social Media,11517,6751.0,71680.74,35892.17,35788.58,10.62,397.94
2022,Mayo,Holanda,Chrysal Boost Z,Nutricional,Field Campaign,11011,6751.0,63995.76,37016.26,26979.51,9.48,412.93
2024,Abril,Colombia,Chrysal Boost Z,Insecticida,E-mail Marketing,24160,,96794.33,48891.52,47902.8,,1823.08
2023,Mayo,Ecuador,Chrysal Root R,Fungicida,E-mail Marketing,22342,,138942.38,76266.06,62676.32,,755.68
2023,Enero,Ecuador,Chrysal Root R,Fungicida,Influencers Agrícolas,32112,6751.0,190861.18,90532.91,100328.27,28.27,1199.53
2025,Mayo,Colombia,Chrysal Grow X,Insecticida,Influencers Agrícolas,29047,,122793.88,69700.11,53093.78,,1224.66
2023,Mayo,Ecuador,Chrysal Flora F,Fertilizante,Influencers Agrícolas,23157,,91234.46,46822.94,44411.52,,1385.36
2023,Febrero,Kenya,Chrysal Grow X,Fungicida,Social Media,28491,,151137.31,86963.45,64173.85,,771.94
2023,Febrero,Colombia,Chrysal Root R,Regulador de crecimiento,E-mail Marketing,13224,6751.0,55822.43,34145.41,21677.02,8.27,1021.38
2025,Febrero,Colombia,Chrysal Protect Y,Insecticida,Field Campaign,19652,,118961.33,68085.05,50876.28,,1413.65
2023,Mayo,Colombia,Chrysal Root R,Insecticida,Influencers Agrícolas,23401,,111564.35,56802.93,54761.42,,1278.47
2024,Marzo,Kenya,Chrysal Flora F,Fungicida,Field Campaign,18820,,117903.72,59087.3,58816.42,,1137.52
2025,Mayo,Colombia,Chrysal Root R,Fertilizante,Field Campaign,8955,6751.0,47706.49,24591.94,23114.55,7.07,188.05
2024,Marzo,Kenya,Chrysal Flora F,Regulador de crecimiento,Influencers Agrícolas,4383,6751.0,18817.16,9087.26,9729.9,2.79,176.8
2025,Marzo,Colombia,Chrysal Flora F,Fertilizante,E-mail Marketing,16315,,,33135.12,35011.28,,
2023,Febrero,Holanda,Chrysal Flora F,Nutricional,Influencers Agrícolas,20510,6751.0,109861.31,66810.86,43050.45,16.27,505.55
2024,Abril,Ecuador,Chrysal Flora F,Nutricional,Field Campaign,25332,,148371.7,78183.95,70187.75,,935.73
2025,Enero,Holanda,Chrysal Flora F,Fungicida,Influencers Agrícolas,19401,6751.0,114661.18,61595.87,53065.3,16.98,1069.34
2022,Febrero,Ecuador,Chrysal Protect Y,Fungicida,Field Campaign,5767,6751.0,26208.39,14907.59,11300.8,3.88,204.06
2023,Febrero,Kenya,Chrysal Grow X,Fungicida,Field Campaign,19553,,85084.22,48321.94,36762.28,,1486.78
2025,Abril,Holanda,Chrysal Boost Z,Nutricional,Influencers Agrícolas,20822,6751.0,80065.63,37108.45,42957.18,11.86,580.17
2022,Enero,Colombia,Chrysal Grow X,Fertilizante,Social Media,9935,6751.0,55972.18,34496.11,21476.07,8.29,674.03
2025,Mayo,Ecuador,Chrysal Flora F,Fertilizante,Influencers Agrícolas,6522,6751.0,26131.92,12686.14,13445.78,3.87,329.21
2022,Mayo,Ecuador,Chrysal Protect Y,Fungicida,Social Media,28213,,139260.93,82806.54,56454.38,,1834.4
2023,Febrero,Holanda,Chrysal Root R,Regulador de crecimiento,Field Campaign,28036,6751.0,152082.46,91939.04,60143.41,22.53,1083.39
2024,Enero,Kenya,Chrysal Protect Y,Fertilizante,Field Campaign,16314,6751.0,103270.79,61237.5,42033.29,15.3,829.88
2022,Febrero,Holanda,Chrysal Flora F,Nutricional,Social Media,21131,,98087.27,55497.34,42589.93,,1508.97
2025,Marzo,Kenya,Chrysal Protect Y,Insecticida,Field Campaign,18860,6751.0,84386.9,38220.67,46166.23,12.5,905.52
2023,Febrero,Kenya,Chrysal Protect Y,Insecticida,Social Media,1996,6751.0,11110.2,5800.36,5309.84,1.65,83.0
2022,Febrero,Ecuador,Chrysal Flora F,Insecticida,Social Media,13097,6751.0,,40919.02,30747.04,10.62,
2025,Mayo,Holanda,Chrysal Protect Y,Regulador de crecimiento,Field Campaign,3587,6751.0,16847.05,8886.65,7960.4,2.5,226.13
2025,Mayo,Holanda,Chrysal Boost Z,Fungicida,E-mail Marketing,24616,6751.0,155225.42,96658.24,58567.17,22.99,1147.45
2025,Mayo,Kenya,Chrysal Boost Z,Nutricional,Social Media,20502,,124675.29,63803.88,60871.41,,1564.97
2022,Marzo,Holanda,Chrysal Protect Y,Regulador de crecimiento,Influencers Agrícolas,26042,,114708.57,58353.05,56355.52,,981.7
2022,Mayo,Colombia,Chrysal Root R,Nutricional,Influencers Agrícolas,2976,6751.0,13230.36,6657.51,6572.85,1.96,144.42
2022,Enero,Colombia,Chrysal Flora F,Nutricional,Field Campaign,20927,6751.0,108469.06,56030.36,52438.7,16.07,1368.95
2024,Abril,Holanda,Chrysal Boost Z,Fungicida,E-mail Marketing,28028,6751.0,165046.93,92670.72,72376.22,24.45,1719.44
2022,Enero,Holanda,Chrysal Root R,Insecticida,Field Campaign,21008,,82328.44,48689.29,33639.15,,1508.76
2022,Enero,Kenya,Chrysal Protect Y,Fungicida,E-mail Marketing,29282,,166087.65,96748.31,69339.34,,2336.95
2022,Mayo,Colombia,Chrysal Root R,Regulador de crecimiento,Social Media,9971,6751.0,55341.41,33843.68,21497.73,8.2,454.79
2024,Abril,Colombia,Chrysal Grow X,Regulador de crecimiento,Social Media,34196,6751.0,151317.17,94903.53,56413.64,22.41,911.97
2022,Abril,Ecuador,Chrysal Boost Z,Regulador de crecimiento,Social Media,4496,,25355.88,15548.63,9807.25,,98.12
2025,Abril,Kenya,Chrysal Protect Y,Fungicida,Social Media,20858,6751.0,132208.32,59994.69,72213.63,19.58,1326.83
2022,Marzo,Ecuador,Chrysal Flora F,Nutricional,Influencers Agrícolas,21113,,82896.43,49504.39,33392.04,,1529.44
2025,Mayo,Colombia,Chrysal Protect Y,Nutricional,Influencers Agrícolas,19949,,93023.39,45737.73,47285.66,,663.16
2025,Abril,Kenya,Chrysal Flora F,Fertilizante,Field Campaign,5756,6751.0,28682.59,13669.71,15012.88,4.25,169.84
2025,Marzo,Holanda,Chrysal Protect Y,Regulador de crecimiento,E-mail Marketing,10995,,68476.89,39558.95,28917.95,,260.94
2024,Febrero,Kenya,Chrysal Root R,Nutricional,Social Media,17876,6751.0,114372.54,58781.61,55590.93,16.94,1239.92
2024,Febrero,Holanda,Chrysal Root R,Fertilizante,Social Media,1905,6751.0,9523.31,4394.28,5129.03,1.41,73.69
2024,Marzo,Holanda,Chrysal Root R,Nutricional,E-mail Marketing,16217,6751.0,94465.27,45109.62,49355.65,13.99,715.2
2022,Marzo,Kenya,Chrysal Grow X,Regulador de crecimiento,E-mail Marketing,25529,6751.0,133656.69,60170.36,73486.34,19.8,1280.66
2025,Mayo,Holanda,Chrysal Flora F,Insecticida,Field Campaign,30899,6751.0,162281.98,102342.27,59939.7,24.04,2174.28
2024,Mayo,Ecuador,Chrysal Root R,Regulador de crecimiento,E-mail Marketing,33398,6751.0,151989.91,69143.8,82846.11,22.51,1972.15
2024,Febrero,Colombia,Chrysal Grow X,Fungicida,Social Media,30761,,,66361.55,68549.49,,
2022,Abril,Holanda,Chrysal Flora F,Nutricional,Social Media,13402,,61349.19,32714.61,28634.58,,409.3
2024,Febrero,Ecuador,Chrysal Protect Y,Nutricional,Social Media,10056,,53317.77,27795.32,25522.46,,510.76
2022,Abril,Holanda,Chrysal Grow X,Fungicida,Social Media,21384,,,52448.31,30494.22,,
2023,Abril,Colombia,Chrysal Boost Z,Fungicida,Social Media,26592,6751.0,166188.62,76123.99,90064.63,24.62,2084.7
2024,Mayo,Ecuador,Chrysal Grow X,Insecticida,Field Campaign,22704,,95855.52,52954.7,42900.81,,728.44
2023,Enero,Colombia,Chrysal Grow X,Nutricional,Social Media,27336,,120120.93,70402.38,49718.55,,562.37
2022,Enero,Colombia,Chrysal Flora F,Nutricional,Field Campaign,19964,,,66051.88,37747.85,,
2025,Marzo,Ecuador,Chrysal Protect Y,Insecticida,Social Media,13796,6751.0,78876.01,45280.68,33595.32,11.68,587.04
2024,Mayo,Ecuador,Chrysal Boost Z,Fertilizante,Influencers Agrícolas,3671,,14898.64,9099.36,5799.28,,254.15
2022,Abril,Ecuador,Chrysal Root R,Insecticida,Influencers Agrícolas,23426,6751.0,109113.05,50927.97,58185.08,16.16,478.56
2025,Enero,Kenya,Chrysal Root R,Regulador de crecimiento,Influencers Agrícolas,11321,,72628.99,38289.12,34339.86,,536.66
2025,Abril,Ecuador,Chrysal Grow X,Nutricional,Influencers Agrícolas,1932,6751.0,,4570.96,4139.12,1.29,
2023,Enero,Ecuador,Chrysal Flora F,Fungicida,Field Campaign,34267,6751.0,159178.28,99845.79,59332.49,23.58,793.24
2022,Enero,Ecuador,Chrysal Flora F,Regulador de crecimiento,Field Campaign,15334,,92901.74,44618.31,48283.43,,720.92
2025,Enero,Ecuador,Chrysal Root R,Nutricional,E-mail Marketing,24654,6751.0,97027.76,46609.93,50417.83,14.37,869.91
2024,Mayo,Holanda,Chrysal Boost Z,Insecticida,Social Media,8612,6751.0,43528.97,22448.4,21080.57,6.45,354.07
2024,Febrero,Kenya,Chrysal Protect Y,Regulador de crecimiento,Influencers Agrícolas,5357,,25847.34,11912.86,13934.48,,333.94
2023,Abril,Colombia,Chrysal Boost Z,Nutricional,Field Campaign,2979,,13866.6,6745.99,7120.62,,152.8
2025,Mayo,Ecuador,Chrysal Protect Y,Fertilizante,Social Media,9865,,45096.75,28999.1,16097.65,,271.08
2022,Mayo,Holanda,Chrysal Root R,Fertilizante,Social Media,9075,6751.0,36723.89,19670.67,17053.23,5.44,704.99
2024,Mayo,Holanda,Chrysal Protect Y,Fungicida,Field Campaign,21500,6751.0,99975.64,57626.34,42349.3,14.81,1250.32
2025,Mayo,Holanda,Chrysal Flora F,Nutricional,Influencers Agrícolas,28594,6751.0,111981.01,66653.59,45327.42,16.59,1885.83
2025,Mayo,Colombia,Chrysal Grow X,Fertilizante,E-mail Marketing,29583,,174794.19,91485.93,83308.26,,732.26
2023,Marzo,Ecuador,Chrysal Grow X,Insecticida,Social Media,17798,6751.0,86769.08,41601.04,45168.04,12.85,406.21
2024,Abril,Kenya,Chrysal Root R,Nutricional,E-mail Marketing,14669,6751.0,73323.59,36025.07,37298.52,10.86,310.5
2024,Mayo,Kenya,Chrysal Flora F,Insecticida,Influencers Agrícolas,28952,6751.0,179870.25,92211.07,87659.17,26.64,907.0
2022,Abril,Holanda,Chrysal Boost Z,Insecticida,Influencers Agrícolas,21754,6751.0,121316.59,70025.59,51290.99,17.97,975.98
2024,Marzo,Colombia,Chrysal Flora F,Fertilizante,E-mail Marketing,32355,6751.0,123653.03,65493.58,58159.45,18.32,2463.82
2022,Marzo,Colombia,Chrysal Grow X,Nutricional,Influencers Agrícolas,17454,6751.0,110773.07,49998.86,60774.21,16.41,827.73
2024,Abril,Colombia,Chrysal Grow X,Regulador de crecimiento,Social Media,15842,6751.0,70343.08,39018.0,31325.08,10.42,592.73
2023,Enero,Kenya,Chrysal Flora F,Fertilizante,E-mail Marketing,26766,,109487.88,69448.46,40039.43,,1437.77
2024,Febrero,Holanda,Chrysal Flora F,Fertilizante,Influencers Agrícolas,15070,,,54211.25,34309.12,,402.61
2022,Enero,Ecuador,Chrysal Grow X,Nutricional,E-mail Marketing,31708,,163337.06,100459.2,62877.86,,1793.73
2022,Enero,Kenya,Chrysal Boost Z,Nutricional,Social Media,16323,6751.0,81144.58,49417.99,31726.59,12.02,883.17
2023,Enero,Holanda,Chrysal Root R,Insecticida,Influencers Agrícolas,20791,6751.0,93011.83,47877.48,45134.35,13.78,1403.8
2024,Mayo,Holanda,Chrysal Root R,Nutricional,Social Media,11575,,61094.85,36842.56,24252.29,,916.75
2024,Marzo,Ecuador,Chrysal Flora F,Insecticida,Influencers Agrícolas,13065,6751.0,59326.05,28395.36,30930.69,8.79,457.96
2023,Enero,Ecuador,Chrysal Root R,Fertilizante,Field Campaign,20259,,126300.16,73449.0,52851.16,,1024.69
2024,Marzo,Ecuador,Chrysal Grow X,Fungicida,Influencers Agrícolas,17473,6751.0,76550.12,44269.99,32280.14,11.34,1302.3
2024,Abril,Colombia,Chrysal Grow X,Regulador de crecimiento,E-mail Marketing,27856,6751.0,172366.21,78446.27,93919.94,25.53,1869.45
2022,Febrero,Ecuador,Chrysal Flora F,Fertilizante,Influencers Agrícolas,7414,,,23921.75,15449.52,,365.1
2024,Abril,Holanda,Chrysal Flora F,Nutricional,Social Media,8215,,49593.28,31275.98,18317.3,,630.27
2024,Abril,Ecuador,Chrysal Flora F,Regulador de crecimiento,Social Media,23955,,137134.81,69045.05,68089.76,,561.37
2023,Mayo,Holanda,Chrysal Boost Z,Fungicida,Influencers Agrícolas,17764,,100918.65,61810.47,39108.18,,1347.58
2023,Febrero,Kenya,Chrysal Root R,Fungicida,E-mail Marketing,33052,,154542.35,72091.1,82451.25,,761.2
2025,Abril,Colombia,Chrysal Flora F,Insecticida,Field Campaign,4632,6751.0,20526.81,11700.15,8826.66,3.04,244.75
2022,Abril,Kenya,Chrysal Protect Y,Regulador de crecimiento,E-mail Marketing,26075,6751.0,113931.92,62335.5,51596.42,16.88,1914.59
2024,Febrero,Kenya,Chrysal Protect Y,Insecticida,Field Campaign,15701,6751.0,96002.47,53683.11,42319.36,14.22,561.52
2024,Febrero,Holanda,Chrysal Grow X,Fertilizante,Social Media,34948,,210217.55,133538.81,76678.73,,1689.21
2025,Abril,Kenya,Chrysal Root R,Regulador de crecimiento,E-mail Marketing,23718,,118342.11,73876.61,44465.5,,935.91
2024,Febrero,Holanda,Chrysal Flora F,Fertilizante,Field Campaign,20340,,84563.4,51331.4,33232.0,,1568.8
2022,Abril,Ecuador,Chrysal Protect Y,Insecticida,Influencers Agrícolas,12380,,59821.16,30194.12,29627.05,,859.4
2025,Abril,Ecuador,Chrysal Root R,Regulador de crecimiento,Social Media,25717,,140729.27,88992.09,51737.18,,1608.34
2022,Mayo,Holanda,Chrysal Grow X,Insecticida,Influencers Agrícolas,23118,,116211.61,54561.53,61650.08,,1277.45
2025,Enero,Ecuador,Chrysal Boost Z,Regulador de crecimiento,Social Media,10979,6751.0,64847.58,40248.68,24598.9,9.61,760.14
2025,Abril,Colombia,Chrysal Root R,Insecticida,E-mail Marketing,13051,6751.0,84747.73,43698.64,41049.09,12.55,568.19
2023,Marzo,Kenya,Chrysal Root R,Fungicida,E-mail Marketing,20293,6751.0,87585.74,40355.52,47230.22,12.97,950.79
